relacao;tipo_origem;tipo_destino;ocorrencias;peso_medio;confianca_media_global;importancia_media_global;score_estatistico;forca_estatistica
AGREGA_PARA;ATIVO_FRACTAL;ATIVO_FRACTAL;57;0.6026;99.89;72.17;100.0;MUITO_FORTE
DETALHA_DE;ATIVO_FRACTAL;ATIVO_FRACTAL;57;0.6026;99.89;72.17;100.0;MUITO_FORTE
PERTENCE_A;ARQUIVO;ATIVO;111;0.9;99.89;72.17;100.0;MUITO_FORTE
GERADO_POR;ARQUIVO;ORIGEM;111;0.75;99.89;72.17;100.0;MUITO_FORTE
USA_ESCALA_TEMPORAL;ARQUIVO;FRACTAL;111;0.85;99.89;72.17;100.0;MUITO_FORTE
DEFINE;CODIGO_PADRAO;PADRAO;14;1.0;99.89;72.17;95.6;MUITO_FORTE
