fractal;ativo;arquivo;linhas;data_inicio;data_fim;status
07_30_MIN;WDOFUT;WDO_30min_2016_2018.csv;7624;28/12/2017;04/01/2016;OK
07_30_MIN;WDOFUT;WDO_30min_2018_2020.csv;9022;30/12/2019;02/01/2018;OK
07_30_MIN;WDOFUT;WDO_30min_2020_2022.csv;9080;30/12/2021;02/01/2020;OK
07_30_MIN;WDOFUT;WDO_30min_2022_2024.csv;9119;28/12/2023;03/01/2022;OK
07_30_MIN;WDOFUT;WDO_30min_2024_2026.csv;9502;30/12/2025;02/01/2024;OK
07_30_MIN;WDOFUT;WDO_30min_2026_2026.csv;1987;05/06/2026;02/01/2026;OK
07_30_MIN;WINFUT;WIN_30min_2012_2014.csv;6768;30/12/2013;14/06/2012;OK
07_30_MIN;WINFUT;WIN_30min_2014_2016.csv;8860;30/12/2015;02/01/2014;OK
07_30_MIN;WINFUT;WIN_30min_2016_2018.csv;8646;28/12/2017;04/01/2016;OK
07_30_MIN;WINFUT;WIN_30min_2018_2020.csv;9022;30/12/2019;02/01/2018;OK
07_30_MIN;WINFUT;WIN_30min_2020_2022.csv;9081;30/12/2021;02/01/2020;OK
07_30_MIN;WINFUT;WIN_30min_2022_2024.csv;9119;28/12/2023;03/01/2022;OK
07_30_MIN;WINFUT;WIN_30min_2026_2026.csv;1987;05/06/2026;02/01/2026;OK
08_60_MIN;WDOFUT;WDO_60MIN_2012_2014.csv;4425;30/12/2015;02/01/2014;OK
08_60_MIN;WDOFUT;WDO_60min_2014_2016.csv;4425;30/12/2015;02/01/2014;OK
08_60_MIN;WDOFUT;WDO_60min_2016_2018.csv;3888;28/12/2017;04/01/2016;OK
08_60_MIN;WDOFUT;WDO_60min_2018_2020.csv;4593;30/12/2019;02/01/2018;OK
08_60_MIN;WDOFUT;WDO_60min_2020_2022.csv;4625;30/12/2021;02/01/2020;OK
08_60_MIN;WDOFUT;WDO_60min_2022_2024.csv;4645;28/12/2023;03/01/2022;OK
08_60_MIN;WDOFUT;WDO_60min_2024_2026.csv;5001;30/12/2025;02/01/2024;OK
08_60_MIN;WDOFUT;WDO_60min_2026_2026.csv;1046;05/06/2026;02/01/2026;OK
08_60_MIN;WINFUT;WIN_60min_2012_2014.csv;3784;30/12/2013;18/04/2012;OK
08_60_MIN;WINFUT;WIN_60min_2014_2016.csv;4435;30/12/2015;02/01/2014;OK
08_60_MIN;WINFUT;WIN_60min_2016_2018.csv;4415;28/12/2017;04/01/2016;OK
08_60_MIN;WINFUT;WIN_60min_2018_2020.csv;4593;30/12/2019;02/01/2018;OK
08_60_MIN;WINFUT;WIN_60min_2020_2022.csv;4625;30/12/2021;02/01/2020;OK
08_60_MIN;WINFUT;WIN_60min_2022_2024.csv;4645;28/12/2023;03/01/2022;OK
