data_hora;fractal;arquivo;ativo_detectado;pasta_atual;pasta_correta;acao;resultado;caminho_atual;destino_sugerido
07/06/2026 18:30:01;05_10_MIN;WDO_10min_2026_2026.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\05_10_MIN\wdo\WDO_10min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\05_10_MIN\wdo\WDO_10min_2026_2026.csv
07/06/2026 18:30:01;05_10_MIN;WIN_10min_2022_2023.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\05_10_MIN\win\WIN_10min_2022_2023.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\05_10_MIN\win\WIN_10min_2022_2023.csv
07/06/2026 18:30:01;05_10_MIN;WIN_10min_2023_2024.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\05_10_MIN\win\WIN_10min_2023_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\05_10_MIN\win\WIN_10min_2023_2024.csv
07/06/2026 18:30:01;05_10_MIN;WIN_10min_2024_2025.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\05_10_MIN\win\WIN_10min_2024_2025.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\05_10_MIN\win\WIN_10min_2024_2025.csv
07/06/2026 18:30:01;05_10_MIN;WIN_10min_2025_2026.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\05_10_MIN\win\WIN_10min_2025_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\05_10_MIN\win\WIN_10min_2025_2026.csv
07/06/2026 18:30:01;05_10_MIN;WIN_10min_2026_2026.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\05_10_MIN\win\WIN_10min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\05_10_MIN\win\WIN_10min_2026_2026.csv
07/06/2026 18:30:01;06_15_MIN;WDO_15min_2020_2022.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\wdo\WDO_15min_2020_2022.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\wdo\WDO_15min_2020_2022.csv
07/06/2026 18:30:01;06_15_MIN;WDO_15min_2022_2024.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\wdo\WDO_15min_2022_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\wdo\WDO_15min_2022_2024.csv
07/06/2026 18:30:02;06_15_MIN;WDO_15min_2024_2026.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\wdo\WDO_15min_2024_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\wdo\WDO_15min_2024_2026.csv
07/06/2026 18:30:02;06_15_MIN;WDO_15min_2026_2026.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\wdo\WDO_15min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\wdo\WDO_15min_2026_2026.csv
07/06/2026 18:30:02;06_15_MIN;WIN_15min_2020_2022.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\win\WIN_15min_2020_2022.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\win\WIN_15min_2020_2022.csv
07/06/2026 18:30:02;06_15_MIN;WIN_15min_2022_2024.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\win\WIN_15min_2022_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\win\WIN_15min_2022_2024.csv
07/06/2026 18:30:02;06_15_MIN;WIN_15min_2024_2026.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\win\WIN_15min_2024_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\win\WIN_15min_2024_2026.csv
07/06/2026 18:30:02;06_15_MIN;WIN_15min_2026_2026.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\win\WIN_15min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\win\WIN_15min_2026_2026.csv
07/06/2026 18:30:02;07_30_MIN;WDO_30min_2014_2016.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2014_2016.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2014_2016.csv
07/06/2026 18:30:02;07_30_MIN;WDO_30min_2016_2018.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2016_2018.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2016_2018.csv
07/06/2026 18:30:02;07_30_MIN;WDO_30min_2018_2020.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2018_2020.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2018_2020.csv
07/06/2026 18:30:02;07_30_MIN;WDO_30min_2020_2022.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2020_2022.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2020_2022.csv
07/06/2026 18:30:02;07_30_MIN;WDO_30min_2022_2024.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2022_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2022_2024.csv
07/06/2026 18:30:02;07_30_MIN;WDO_30min_2024_2026.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2024_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2024_2026.csv
07/06/2026 18:30:02;07_30_MIN;WDO_30min_2026_2026.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2026_2026.csv
07/06/2026 18:30:02;07_30_MIN;WIN_30min_2012_2014.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2012_2014.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2012_2014.csv
07/06/2026 18:30:02;07_30_MIN;WIN_30min_2014_2016.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2014_2016.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2014_2016.csv
07/06/2026 18:30:02;07_30_MIN;WIN_30min_2016_2018.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2016_2018.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2016_2018.csv
