WDOFUT;30/12/2019;18:00:00;5533,20;5536,64;5528,39;5530,45;588633007,70;10640
WDOFUT;30/12/2019;17:00:00;5519,46;5535,95;5515,34;5533,89;2281815304,00;41315
WDOFUT;30/12/2019;16:00:00;5527,70;5531,83;5516,71;5518,77;2570041546,00;46535
WDOFUT;30/12/2019;15:00:00;5523,58;5533,20;5521,52;5527,70;2836335113,00;51316
WDOFUT;30/12/2019;14:00:00;5524,96;5528,39;5520,15;5522,90;2438618028,00;44142
WDOFUT;30/12/2019;13:00:00;5534,57;5534,57;5514,65;5524,27;4316273504,00;78130
WDOFUT;30/12/2019;12:00:00;5549,69;5549,69;5531,14;5534,57;5229536693,00;94427
WDOFUT;30/12/2019;11:00:00;5553,12;5562,06;5548,31;5549,69;4364553956,00;78558
WDOFUT;30/12/2019;10:00:00;5546,25;5556,56;5545,57;5553,12;3686735929,00;66411
WDOFUT;30/12/2019;09:00:00;5551,75;5566,18;5542,13;5546,94;5038994677,00;90799
WDOFUT;27/12/2019;18:00:00;5569,62;5571,68;5566,18;5566,18;568204584,00;10204
WDOFUT;27/12/2019;17:00:00;5573,75;5575,12;5568,24;5569,62;2205809573,00;39586
WDOFUT;27/12/2019;16:00:00;5567,55;5576,50;5566,87;5573,06;3649410806,00;65488
WDOFUT;27/12/2019;15:00:00;5573,06;5575,12;5565,49;5566,87;3556766538,00;63854
WDOFUT;27/12/2019;14:00:00;5575,81;5579,94;5570,31;5573,06;4119279490,00;73887
WDOFUT;27/12/2019;13:00:00;5582,01;5582,01;5568,24;5575,81;5127971004,00;91987
WDOFUT;27/12/2019;12:00:00;5584,76;5586,83;5577,88;5581,32;4491673461,00;80468
WDOFUT;27/12/2019;11:00:00;5586,14;5589,58;5580,63;5585,45;5054912584,00;90515
WDOFUT;27/12/2019;10:00:00;5569,62;5587,51;5568,24;5585,45;8158639282,00;146296
WDOFUT;27/12/2019;09:00:00;5570,31;5578,57;5553,79;5568,93;1,118773575E10;200973
WDOFUT;26/12/2019;18:00:00;5579,25;5583,38;5575,81;5583,38;617757058,90;11073
WDOFUT;26/12/2019;17:00:00;5589,58;5591,64;5573,75;5579,25;4614097658,00;82668
WDOFUT;26/12/2019;16:00:00;5590,27;5593,71;5588,20;5590,27;2957957236,00;52903
WDOFUT;26/12/2019;15:00:00;5588,20;5593,02;5583,38;5590,27;3324608883,00;59487
WDOFUT;26/12/2019;14:00:00;5590,27;5593,02;5584,76;5587,51;2851932531,00;51037
WDOFUT;26/12/2019;13:00:00;5588,89;5594,40;5586,83;5589,58;3704746654,00;66268
WDOFUT;26/12/2019;12:00:00;5584,76;5590,27;5578,57;5588,89;4613954150,00;82619
WDOFUT;26/12/2019;11:00:00;5587,51;5598,53;5581,32;5584,07;8057394895,00;144139
WDOFUT;26/12/2019;10:00:00;5573,06;5588,20;5572,37;5586,83;6138236299,00;109974
WDOFUT;26/12/2019;09:00:00;5610,23;5621,24;5569,62;5573,75;1,049974263E10;188026
WDOFUT;23/12/2019;18:00:00;5615,05;5624,68;5614,36;5621,24;661400692,80;11771
WDOFUT;23/12/2019;17:00:00;5618,49;5620,55;5611,60;5615,73;2835132504,00;50485
WDOFUT;23/12/2019;16:00:00;5612,29;5619,86;5608,85;5617,80;3179004149,00;56625
WDOFUT;23/12/2019;15:00:00;5595,09;5621,24;5593,71;5612,29;8309123152,00;148130
WDOFUT;23/12/2019;14:00:00;5593,02;5597,84;5586,83;5595,09;4649546147,00;83125
WDOFUT;23/12/2019;13:00:00;5588,89;5595,77;5587,51;5593,71;3389565511,00;60604
WDOFUT;23/12/2019;12:00:00;5610,92;5612,98;5586,14;5589,58;9127779592,00;163064
WDOFUT;23/12/2019;11:00:00;5617,80;5621,24;5605,41;5610,92;7633710463,00;136047
