id_ocorrencia;arquivo;caminho;status_certificacao;status_ordem;criticidade;motivo;descricao;responsavel;acao_recomendada;dependencia;certificacao;data_emissao;fiscal_temporal
FT-20260626-017861;WIN_9min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\009_9_MIN\win\WIN_9min_2026_2026.csv;INFORMATIVO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;Lacuna de 0.17 horas entre 22/01/2026 12:36:00 e 22/01/2026 12:46:00. Ausencia temporal justificada por leilao cadastrado. Eventos: 22/01/2026 12:41:00 (12:40:21-12:42:21) fonte=NELOGICA;EVENTO_MERCADO;NENHUMA_ACAO_CORRETIVA;NENHUMA;JUSTIFICADO_POR_EVENTO_DE_MERCADO;26/06/2026 11:33:20;v4.2.2
FT-20260626-017862;WIN_9min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\009_9_MIN\win\WIN_9min_2026_2026.csv;INFORMATIVO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;Lacuna de 0.20 horas entre 26/01/2026 11:24:00 e 26/01/2026 11:36:00. Ausencia temporal justificada por leilao cadastrado. Eventos: 26/01/2026 11:31:00 (11:30:41-11:33:10) fonte=NELOGICA | 26/01/2026 11:32:00 (11:30:41-11:33:10) fonte=NELOGICA | 26/01/2026 11:34:00 (11:33:16-11:35:16) fonte=NELOGICA;EVENTO_MERCADO;NENHUMA_ACAO_CORRETIVA;NENHUMA;JUSTIFICADO_POR_EVENTO_DE_MERCADO;26/06/2026 11:33:20;v4.2.2
FT-20260626-017863;WIN_9min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\009_9_MIN\win\WIN_9min_2026_2026.csv;INFORMATIVO;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;91 lacunas longas consolidadas neste arquivo. Primeira: 21/01/2026 18:22:00. Ultima: 05/06/2026 09:00:00. Horas totais aproximadas: 2397.47. Maior lacuna: 114.70 horas. Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos.;CALENDARIO_B3;NENHUMA_ACAO_OPERACIONAL;NENHUMA;JUSTIFICADA_COM_RESSALVA;26/06/2026 11:33:21;v4.2.2
FT-20260626-017864;WDO_10min2022_2023.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min2022_2023.csv;INFORMATIVO;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;33 lacunas longas consolidadas neste arquivo. Primeira: 11/11/2022 18:20:00. Ultima: 29/12/2022 09:00:00. Horas totais aproximadas: 844.00. Maior lacuna: 62.67 horas. Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos.;CALENDARIO_B3;NENHUMA_ACAO_OPERACIONAL;NENHUMA;JUSTIFICADA_COM_RESSALVA;26/06/2026 11:33:22;v4.2.2
FT-20260626-017865;WDO_10min_2023_2024.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min_2023_2024.csv;INFORMATIVO;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;247 lacunas longas consolidadas neste arquivo. Primeira: 02/01/2023 18:20:00. Ultima: 28/12/2023 09:00:00. Horas totais aproximadas: 6420.33. Maior lacuna: 114.67 horas. Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos.;CALENDARIO_B3;NENHUMA_ACAO_OPERACIONAL;NENHUMA;JUSTIFICADA_COM_RESSALVA;26/06/2026 11:33:24;v4.2.2
FT-20260626-017866;WDO_10min_2024_2025.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min_2024_2025.csv;INFORMATIVO;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;250 lacunas longas consolidadas neste arquivo. Primeira: 02/01/2024 18:20:00. Ultima: 30/12/2024 09:00:00. Horas totais aproximadas: 6383.50. Maior lacuna: 114.67 horas. Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos.;CALENDARIO_B3;NENHUMA_ACAO_OPERACIONAL;NENHUMA;JUSTIFICADA_COM_RESSALVA;26/06/2026 11:33:26;v4.2.2
FT-20260626-017867;WDO_10min_2025_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min_2025_2026.csv;INFORMATIVO;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;249 lacunas longas consolidadas neste arquivo. Primeira: 02/01/2025 18:20:00. Ultima: 30/12/2025 09:00:00. Horas totais aproximadas: 6368.00. Maior lacuna: 114.67 horas. Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos.;CALENDARIO_B3;NENHUMA_ACAO_OPERACIONAL;NENHUMA;JUSTIFICADA_COM_RESSALVA;26/06/2026 11:33:28;v4.2.2
FT-20260626-017868;WDO_10min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min_2026_2026.csv;INFORMATIVO;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;104 lacunas longas consolidadas neste arquivo. Primeira: 02/01/2026 18:20:00. Ultima: 05/06/2026 09:00:00. Horas totais aproximadas: 2729.33. Maior lacuna: 114.67 horas. Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos.;CALENDARIO_B3;NENHUMA_ACAO_OPERACIONAL;NENHUMA;JUSTIFICADA_COM_RESSALVA;26/06/2026 11:33:29;v4.2.2
FT-20260626-017869;WIN_10min_2022_2023.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2022_2023.csv;INFORMATIVO;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;33 lacunas longas consolidadas neste arquivo. Primeira: 11/11/2022 18:20:00. Ultima: 29/12/2022 09:00:00. Horas totais aproximadas: 844.00. Maior lacuna: 62.67 horas. Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos.;CALENDARIO_B3;NENHUMA_ACAO_OPERACIONAL;NENHUMA;JUSTIFICADA_COM_RESSALVA;26/06/2026 11:33:30;v4.2.2
FT-20260626-017870;WIN_10min_2023_2024.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2023_2024.csv;INFORMATIVO;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;247 lacunas longas consolidadas neste arquivo. Primeira: 02/01/2023 18:20:00. Ultima: 28/12/2023 09:00:00. Horas totais aproximadas: 6420.33. Maior lacuna: 114.67 horas. Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos.;CALENDARIO_B3;NENHUMA_ACAO_OPERACIONAL;NENHUMA;JUSTIFICADA_COM_RESSALVA;26/06/2026 11:33:32;v4.2.2
