data_hora;evento;arquivo;detalhe;acao_recomendada
2026-06-11 13:53:20;INALTERADO;WDO_1min_2025_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_1min_2026_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_1min_2026_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_2min_2026_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_3min_2026_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_5min_2023_2024.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_5min_2024_2025.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_5min_2025_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_5min_2026_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_5min_2023_2024.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_5min_2024_2025.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_5min_2025_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_5min_2026_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_10min2022_2023.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_10min_2023_2024.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_10min_2024_2025.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_10min_2025_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_10min_2026_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_10min_2022_2023.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_10min_2023_2024.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_10min_2024_2025.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_10min_2025_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_10min_2026_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_15min_2020_2022.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_15min_2022_2024.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_15min_2024_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_15min_2026_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_15min_2020_2022.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_15min_2022_2024.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_15min_2024_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_15min_2026_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_30min_2014_2016.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_30min_2016_2018.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_30min_2018_2020.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_30min_2020_2022.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_30min_2022_2024.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_30min_2024_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_30min_2026_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_30min_2012_2014.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_30min_2014_2016.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_30min_2016_2018.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_30min_2018_2020.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_30min_2020_2022.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_30min_2022_2024.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_30min_2026_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_60MIN_2012_2014.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_60min_2014_2016.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_60min_2016_2018.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_60min_2018_2020.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_60min_2020_2022.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_60min_2022_2024.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_60min_2024_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_60min_2026_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_60min_2012_2014.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_60min_2014_2016.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_60min_2016_2018.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_60min_2018_2020.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_60min_2020_2022.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_60min_2022_2024.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_60min_2024_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_60min_2026_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_DIARIO_2005_2006.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_DIARIO_2007_2008.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_DIARIO_2008_2009.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_DIARIO_2009_2010.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_DIARIO_2010_2011.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_DIARIO_2013_2014.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_DIARIO_2015_2017.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_DIARIO_2019_2020.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_DIARIO_2020_2022.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_DIARIO_2022_2024.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_DIARIO_2024_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_DIARIO_2026_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_Diário_2011_2013.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_DIARIO_2017_2019.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_DIARIO_2005_2006.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_DIARIO_2007_2008.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_DIARIO_2008_2009.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_DIARIO_2009_2010.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_DIARIO_2010_2011.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_DIARIO_2011_2013.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_DIARIO_2013_2015.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_DIARIO_2015_2017.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_DIARIO_2019_2020.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_DIARIO_2020_2022.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_DIARIO_2022_2024.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_DIARIO_2024_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WIN_DIARIO_2026_2026.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_SEMANAL_2009_2011.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_SEMANAL_2011_2013.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_SEMANAL_2013_2015.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
2026-06-11 13:53:20;INALTERADO;WDO_SEMANAL_2015_2017.csv;Arquivo sem alteracao detectada;Nenhuma acao necessaria
