fractal_pasta;fractal_detectado;ativo;arquivo;caminho;linhas;data_inicio;data_fim;colunas;status;observacao
06_15_MIN;5_MIN;WIN;WIN_15min_2020_2022.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\win\WIN_15min_2020_2022.csv;14808;15/05/2020;30/12/2021;9;ALERTA;FRACTAL_PASTA_INCOERENTE
06_15_MIN;5_MIN;WIN;WIN_15min_2022_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\win\WIN_15min_2022_2024.csv;18238;03/01/2022;28/12/2023;9;ALERTA;FRACTAL_PASTA_INCOERENTE
06_15_MIN;5_MIN;WIN;WIN_15min_2024_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\win\WIN_15min_2024_2026.csv;19001;02/01/2024;30/12/2025;9;ALERTA;FRACTAL_PASTA_INCOERENTE
06_15_MIN;5_MIN;WIN;WIN_15min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\win\WIN_15min_2026_2026.csv;3974;02/01/2026;05/06/2026;9;ALERTA;FRACTAL_PASTA_INCOERENTE
07_30_MIN;30_MIN;WDO;WDO_30min_2014_2016.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2014_2016.csv;3666;05/03/2015;30/12/2015;9;OK;
07_30_MIN;30_MIN;WDO;WDO_30min_2016_2018.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2016_2018.csv;7624;04/01/2016;28/12/2017;9;OK;
07_30_MIN;30_MIN;WDO;WDO_30min_2018_2020.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2018_2020.csv;9022;02/01/2018;30/12/2019;9;OK;
07_30_MIN;30_MIN;WDO;WDO_30min_2020_2022.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2020_2022.csv;9080;02/01/2020;30/12/2021;9;OK;
07_30_MIN;30_MIN;WDO;WDO_30min_2022_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2022_2024.csv;9119;03/01/2022;28/12/2023;9;OK;
07_30_MIN;30_MIN;WDO;WDO_30min_2024_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2024_2026.csv;9502;02/01/2024;30/12/2025;9;OK;
07_30_MIN;30_MIN;WDO;WDO_30min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2026_2026.csv;1987;02/01/2026;05/06/2026;9;OK;
07_30_MIN;30_MIN;WIN;WIN_30min_2012_2014.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2012_2014.csv;6768;14/06/2012;30/12/2013;9;OK;
07_30_MIN;30_MIN;WIN;WIN_30min_2014_2016.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2014_2016.csv;8860;02/01/2014;30/12/2015;9;OK;
07_30_MIN;30_MIN;WIN;WIN_30min_2016_2018.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2016_2018.csv;8646;04/01/2016;28/12/2017;9;OK;
