arquivo;ativo;fractal;linhas;colunas;status;observacao;confiabilidade;tags
WIN_120min_2026_2026.csv;WIN;120_MIN;458;21;OK;;98;WIN,120_MIN,ZE_DO_EUCRAZIO
WIN_180min_2026_2026.csv;WIN;180_MIN;366;21;OK;;98;WIN,180_MIN,ZE_DO_EUCRAZIO
WIN_240min_2026_2026.csv;WIN;240_MIN;275;21;OK;;98;WIN,240_MIN,ZE_DO_EUCRAZIO
WIN_10min_2026_2026_CANDLES_PARCIAIS.csv;WIN;10_MIN;93;21;OK;;98;WIN,10_MIN,ZE_DO_EUCRAZIO
WIN_120min_2026_2026_CANDLES_PARCIAIS.csv;WIN;120_MIN;93;21;OK;;98;WIN,120_MIN,ZE_DO_EUCRAZIO
WIN_12min_2026_2026_CANDLES_PARCIAIS.csv;WIN;12_MIN;92;21;OK;;98;WIN,12_MIN,ZE_DO_EUCRAZIO
WIN_15min_2026_2026_CANDLES_PARCIAIS.csv;WIN;15_MIN;93;21;OK;;98;WIN,15_MIN,ZE_DO_EUCRAZIO
WIN_180min_2026_2026_CANDLES_PARCIAIS.csv;WIN;180_MIN;93;21;OK;;98;WIN,180_MIN,ZE_DO_EUCRAZIO
WIN_20min_2026_2026_CANDLES_PARCIAIS.csv;WIN;20_MIN;93;21;OK;;98;WIN,20_MIN,ZE_DO_EUCRAZIO
WIN_240min_2026_2026_CANDLES_PARCIAIS.csv;WIN;240_MIN;93;21;OK;;98;WIN,240_MIN,ZE_DO_EUCRAZIO
WIN_30min_2026_2026_CANDLES_PARCIAIS.csv;WIN;30_MIN;93;21;OK;;98;WIN,30_MIN,ZE_DO_EUCRAZIO
WIN_45min_2026_2026_CANDLES_PARCIAIS.csv;WIN;45_MIN;93;21;OK;;98;WIN,45_MIN,ZE_DO_EUCRAZIO
WIN_4min_2026_2026_CANDLES_PARCIAIS.csv;WIN;4_MIN;92;21;OK;;98;WIN,4_MIN,ZE_DO_EUCRAZIO
WIN_5min_2026_2026_CANDLES_PARCIAIS.csv;WIN;5_MIN;35;21;OK;;98;WIN,5_MIN,ZE_DO_EUCRAZIO
WIN_60min_2026_2026_CANDLES_PARCIAIS.csv;WIN;60_MIN;93;21;OK;;98;WIN,60_MIN,ZE_DO_EUCRAZIO
WIN_6min_2026_2026_CANDLES_PARCIAIS.csv;WIN;6_MIN;92;21;OK;;98;WIN,6_MIN,ZE_DO_EUCRAZIO
WIN_7min_2026_2026_CANDLES_PARCIAIS.csv;WIN;7_MIN;92;21;OK;;98;WIN,7_MIN,ZE_DO_EUCRAZIO
WIN_8min_2026_2026_CANDLES_PARCIAIS.csv;WIN;8_MIN;93;21;OK;;98;WIN,8_MIN,ZE_DO_EUCRAZIO
WIN_90min_2026_2026_CANDLES_PARCIAIS.csv;WIN;90_MIN;93;21;OK;;98;WIN,90_MIN,ZE_DO_EUCRAZIO
WIN_9min_2026_2026_CANDLES_PARCIAIS.csv;WIN;9_MIN;93;21;OK;;98;WIN,9_MIN,ZE_DO_EUCRAZIO
WDO_10min2022_2023.csv;WDO;10_MIN;1913;9;OK;;100;WDO,10_MIN,PROFIT
WDO_10min_2023_2024.csv;WDO;10_MIN;13622;9;OK;;100;WDO,10_MIN,PROFIT
WDO_10min_2024_2025.csv;WDO;10_MIN;14278;9;OK;;100;WDO,10_MIN,PROFIT
WDO_10min_2025_2026.csv;WDO;10_MIN;14226;9;OK;;100;WDO,10_MIN,PROFIT
WDO_10min_2026_2026.csv;WDO;10_MIN;5961;9;OK;;100;WDO,10_MIN,PROFIT
WIN_10min_2022_2023.csv;WIN;10_MIN;1919;9;OK;;100;WIN,10_MIN,PROFIT
WIN_10min_2023_2024.csv;WIN;10_MIN;13622;9;OK;;100;WIN,10_MIN,PROFIT
WIN_10min_2024_2025.csv;WIN;10_MIN;14283;9;OK;;100;WIN,10_MIN,PROFIT
WIN_10min_2025_2026.csv;WIN;10_MIN;14215;9;OK;;100;WIN,10_MIN,PROFIT
WIN_10min_2026_2026 (2).csv;WIN;10_MIN;5204;21;OK;;100;WIN,10_MIN,PROFIT
WIN_10min_2026_2026.csv;WIN;10_MIN;5961;9;OK;;100;WIN,10_MIN,PROFIT
WIN_12min_2026_2026.csv;WIN;12_MIN;4350;21;OK;;98;WIN,12_MIN,ZE_DO_EUCRAZIO
WIN_15min_2026_2026.csv;WIN;15_MIN;3470;21;OK;;100;WIN,15_MIN,PROFIT
WIN_20min_2026_2026.csv;WIN;20_MIN;2648;21;OK;;98;WIN,20_MIN,ZE_DO_EUCRAZIO
WDO_30min_2014_2016.csv;WDO;30_MIN;3666;9;OK;;100;WDO,30_MIN,PROFIT
WDO_30min_2016_2018.csv;WDO;30_MIN;7624;9;OK;;100;WDO,30_MIN,PROFIT
WDO_30min_2018_2020.csv;WDO;30_MIN;9022;9;OK;;100;WDO,30_MIN,PROFIT
WDO_30min_2020_2022.csv;WDO;30_MIN;9080;9;OK;;100;WDO,30_MIN,PROFIT
WDO_30min_2022_2024.csv;WDO;30_MIN;9119;9;OK;;100;WDO,30_MIN,PROFIT
