arquivo;consultas;ultimo_acesso
WIN_240min_2026_2026.csv;0;N/D
WIN_10min_2026_2026_CANDLES_PARCIAIS.csv;0;N/D
WIN_120min_2026_2026_CANDLES_PARCIAIS.csv;0;N/D
WIN_12min_2026_2026_CANDLES_PARCIAIS.csv;0;N/D
WIN_15min_2026_2026_CANDLES_PARCIAIS.csv;0;N/D
WIN_180min_2026_2026_CANDLES_PARCIAIS.csv;0;N/D
WIN_20min_2026_2026_CANDLES_PARCIAIS.csv;0;N/D
WIN_240min_2026_2026_CANDLES_PARCIAIS.csv;0;N/D
WIN_30min_2026_2026_CANDLES_PARCIAIS.csv;0;N/D
WIN_45min_2026_2026_CANDLES_PARCIAIS.csv;0;N/D
WIN_4min_2026_2026_CANDLES_PARCIAIS.csv;0;N/D
WIN_5min_2026_2026_CANDLES_PARCIAIS.csv;0;N/D
WIN_60min_2026_2026_CANDLES_PARCIAIS.csv;0;N/D
WIN_6min_2026_2026_CANDLES_PARCIAIS.csv;0;N/D
WIN_7min_2026_2026_CANDLES_PARCIAIS.csv;0;N/D
WIN_8min_2026_2026_CANDLES_PARCIAIS.csv;0;N/D
WIN_90min_2026_2026_CANDLES_PARCIAIS.csv;0;N/D
WIN_9min_2026_2026_CANDLES_PARCIAIS.csv;0;N/D
WIN_10min_2026_2026 (2).csv;0;N/D
WIN_12min_2026_2026.csv;0;N/D
WIN_20min_2026_2026.csv;0;N/D
WIN_30min_2026_2026 (2).csv;0;N/D
WIN_45min_2026_2026.csv;0;N/D
WIN_60min_2026_2026 (2).csv;0;N/D
WIN_90min_2026_2026.csv;0;N/D
WIN_120min_2026_2026.csv;0;N/D
WIN_180min_2026_2026.csv;0;N/D
WIN_240min_2026_2026.csv;0;N/D
auditoria_pastas_temporais_20260613_211018.csv;0;N/D
