relacao;tipo_origem;tipo_destino;ocorrencias;peso_medio;confianca_media_global;importancia_media_global;score_estatistico;forca_estatistica
AGREGA_PARA;ATIVO_FRACTAL;ATIVO_FRACTAL;259;0.6641;95.03;65.29;100.0;MUITO_FORTE
DETALHA_DE;ATIVO_FRACTAL;ATIVO_FRACTAL;259;0.6641;95.03;65.29;100.0;MUITO_FORTE
PERTENCE_A;ARQUIVO;ATIVO;152;0.9;95.03;65.29;100.0;MUITO_FORTE
GERADO_POR;ARQUIVO;ORIGEM;162;0.75;95.03;65.29;100.0;MUITO_FORTE
USA_ESCALA_TEMPORAL;ARQUIVO;FRACTAL;152;0.85;95.03;65.29;100.0;MUITO_FORTE
DEFINE;CODIGO_PADRAO;PADRAO;14;1.0;95.03;65.29;92.77;MUITO_FORTE
