codigo_fonte;arquivo;ativo;fractal;data_inicio;data_fim;linhas;qualidade;prioridade_mineracao;elegivel_para_historiador;observacao
REV_SRC_00036;WDO_30min_2022_2024.csv;WDO;30_MIN;03/01/2022;28/12/2023;9119;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00037;WDO_30min_2024_2026.csv;WDO;30_MIN;02/01/2024;30/12/2025;9502;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00038;WDO_30min_2026_2026.csv;WDO;30_MIN;02/01/2026;05/06/2026;1987;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00039;WIN_30min_2012_2014.csv;WIN;30_MIN;14/06/2012;30/12/2013;6768;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00040;WIN_30min_2014_2016.csv;WIN;30_MIN;02/01/2014;30/12/2015;8860;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00041;WIN_30min_2016_2018.csv;WIN;30_MIN;04/01/2016;28/12/2017;8646;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00042;WIN_30min_2018_2020.csv;WIN;30_MIN;02/01/2018;30/12/2019;9022;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00043;WIN_30min_2020_2022.csv;WIN;30_MIN;02/01/2020;30/12/2021;9081;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00044;WIN_30min_2022_2024.csv;WIN;30_MIN;03/01/2022;28/12/2023;9119;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00045;WIN_30min_2026_2026.csv;WIN;30_MIN;02/01/2026;05/06/2026;1987;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00046;WDO_60MIN_2012_2014.csv;WDO;60_MIN;02/01/2014;30/12/2015;4425;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00047;WDO_60min_2014_2016.csv;WDO;60_MIN;02/01/2014;30/12/2015;4425;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00048;WDO_60min_2016_2018.csv;WDO;60_MIN;04/01/2016;28/12/2017;3888;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00049;WDO_60min_2018_2020.csv;WDO;60_MIN;02/01/2018;30/12/2019;4593;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00050;WDO_60min_2020_2022.csv;WDO;60_MIN;02/01/2020;30/12/2021;4625;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00051;WDO_60min_2022_2024.csv;WDO;60_MIN;03/01/2022;28/12/2023;4645;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00052;WDO_60min_2024_2026.csv;WDO;60_MIN;02/01/2024;30/12/2025;5001;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00053;WDO_60min_2026_2026.csv;WDO;60_MIN;02/01/2026;05/06/2026;1046;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
