sessao;fractal_minutos;total_candles_origem;blocos_gerados;candles_completos;candles_parciais;motivo_parcial
2026-01-21;7;399;57;57;0;SEM_SOBRA
2026-01-22;7;564;81;80;1;SOBRARAM_4_CANDLES
2026-01-23;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-01-26;7;562;81;80;1;SOBRARAM_2_CANDLES
2026-01-27;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-01-28;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-01-29;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-01-30;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-02-02;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-02-03;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-02-04;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-02-05;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-02-06;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-02-09;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-02-10;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-02-11;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-02-12;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-02-13;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-02-18;7;325;47;46;1;SOBRARAM_3_CANDLES
2026-02-19;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-02-20;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-02-23;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-02-24;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-02-25;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-02-26;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-02-27;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-03-02;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-03-03;7;563;81;80;1;SOBRARAM_3_CANDLES
2026-03-04;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-03-05;7;562;81;80;1;SOBRARAM_2_CANDLES
2026-03-06;7;562;81;80;1;SOBRARAM_2_CANDLES
2026-03-09;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-03-10;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-03-11;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-03-12;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-03-13;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-03-16;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-03-17;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-03-18;7;563;81;80;1;SOBRARAM_3_CANDLES
2026-03-19;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-03-20;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-03-23;7;562;81;80;1;SOBRARAM_2_CANDLES
2026-03-24;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-03-25;7;562;81;80;1;SOBRARAM_2_CANDLES
2026-03-26;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-03-27;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-03-30;7;562;81;80;1;SOBRARAM_2_CANDLES
2026-03-31;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-04-01;7;563;81;80;1;SOBRARAM_3_CANDLES
2026-04-02;7;561;81;80;1;SOBRARAM_1_CANDLES
2026-04-06;7;562;81;80;1;SOBRARAM_2_CANDLES
2026-04-07;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-04-08;7;562;81;80;1;SOBRARAM_2_CANDLES
2026-04-09;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-04-10;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-04-13;7;562;81;80;1;SOBRARAM_2_CANDLES
2026-04-14;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-04-15;7;562;81;80;1;SOBRARAM_2_CANDLES
2026-04-16;7;562;81;80;1;SOBRARAM_2_CANDLES
2026-04-17;7;562;81;80;1;SOBRARAM_2_CANDLES
2026-04-20;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-04-22;7;562;81;80;1;SOBRARAM_2_CANDLES
2026-04-23;7;562;81;80;1;SOBRARAM_2_CANDLES
2026-04-24;7;562;81;80;1;SOBRARAM_2_CANDLES
2026-04-27;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-04-28;7;562;81;80;1;SOBRARAM_2_CANDLES
2026-04-29;7;563;81;80;1;SOBRARAM_3_CANDLES
2026-04-30;7;563;81;80;1;SOBRARAM_3_CANDLES
2026-05-04;7;563;81;80;1;SOBRARAM_3_CANDLES
2026-05-05;7;563;81;80;1;SOBRARAM_3_CANDLES
2026-05-06;7;563;81;80;1;SOBRARAM_3_CANDLES
2026-05-07;7;563;81;80;1;SOBRARAM_3_CANDLES
2026-05-08;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-05-11;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-05-12;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-05-13;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-05-14;7;562;81;80;1;SOBRARAM_2_CANDLES
2026-05-15;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-05-18;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-05-19;7;562;81;80;1;SOBRARAM_2_CANDLES
2026-05-20;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-05-21;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-05-22;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-05-25;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-05-26;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-05-27;7;565;81;80;1;SOBRARAM_5_CANDLES
2026-05-28;7;562;81;80;1;SOBRARAM_2_CANDLES
2026-05-29;7;562;81;80;1;SOBRARAM_2_CANDLES
