sessao;fractal_minutos;total_candles_origem;blocos_gerados;candles_completos;candles_parciais;motivo_parcial
2026-01-21;240;399;2;1;1;SOBRARAM_159_CANDLES
2026-01-22;240;564;3;2;1;SOBRARAM_84_CANDLES
2026-01-23;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-01-26;240;562;3;2;1;SOBRARAM_82_CANDLES
2026-01-27;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-01-28;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-01-29;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-01-30;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-02-02;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-02-03;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-02-04;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-02-05;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-02-06;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-02-09;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-02-10;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-02-11;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-02-12;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-02-13;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-02-18;240;325;2;1;1;SOBRARAM_85_CANDLES
2026-02-19;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-02-20;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-02-23;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-02-24;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-02-25;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-02-26;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-02-27;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-03-02;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-03-03;240;563;3;2;1;SOBRARAM_83_CANDLES
2026-03-04;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-03-05;240;562;3;2;1;SOBRARAM_82_CANDLES
2026-03-06;240;562;3;2;1;SOBRARAM_82_CANDLES
2026-03-09;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-03-10;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-03-11;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-03-12;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-03-13;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-03-16;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-03-17;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-03-18;240;563;3;2;1;SOBRARAM_83_CANDLES
2026-03-19;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-03-20;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-03-23;240;562;3;2;1;SOBRARAM_82_CANDLES
2026-03-24;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-03-25;240;562;3;2;1;SOBRARAM_82_CANDLES
2026-03-26;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-03-27;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-03-30;240;562;3;2;1;SOBRARAM_82_CANDLES
2026-03-31;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-04-01;240;563;3;2;1;SOBRARAM_83_CANDLES
2026-04-02;240;561;3;2;1;SOBRARAM_81_CANDLES
2026-04-06;240;562;3;2;1;SOBRARAM_82_CANDLES
2026-04-07;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-04-08;240;562;3;2;1;SOBRARAM_82_CANDLES
2026-04-09;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-04-10;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-04-13;240;562;3;2;1;SOBRARAM_82_CANDLES
2026-04-14;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-04-15;240;562;3;2;1;SOBRARAM_82_CANDLES
2026-04-16;240;562;3;2;1;SOBRARAM_82_CANDLES
2026-04-17;240;562;3;2;1;SOBRARAM_82_CANDLES
2026-04-20;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-04-22;240;562;3;2;1;SOBRARAM_82_CANDLES
2026-04-23;240;562;3;2;1;SOBRARAM_82_CANDLES
2026-04-24;240;562;3;2;1;SOBRARAM_82_CANDLES
2026-04-27;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-04-28;240;562;3;2;1;SOBRARAM_82_CANDLES
2026-04-29;240;563;3;2;1;SOBRARAM_83_CANDLES
2026-04-30;240;563;3;2;1;SOBRARAM_83_CANDLES
2026-05-04;240;563;3;2;1;SOBRARAM_83_CANDLES
2026-05-05;240;563;3;2;1;SOBRARAM_83_CANDLES
2026-05-06;240;563;3;2;1;SOBRARAM_83_CANDLES
2026-05-07;240;563;3;2;1;SOBRARAM_83_CANDLES
2026-05-08;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-05-11;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-05-12;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-05-13;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-05-14;240;562;3;2;1;SOBRARAM_82_CANDLES
2026-05-15;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-05-18;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-05-19;240;562;3;2;1;SOBRARAM_82_CANDLES
2026-05-20;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-05-21;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-05-22;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-05-25;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-05-26;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-05-27;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-05-28;240;562;3;2;1;SOBRARAM_82_CANDLES
2026-05-29;240;562;3;2;1;SOBRARAM_82_CANDLES
2026-06-01;240;565;3;2;1;SOBRARAM_85_CANDLES
2026-06-02;240;562;3;2;1;SOBRARAM_82_CANDLES
2026-06-03;240;563;3;2;1;SOBRARAM_83_CANDLES
2026-06-05;240;565;3;2;1;SOBRARAM_85_CANDLES
