arquivo;ativo;fractal;score_confianca_memoria;selo_confianca;motivos
WDO_15min_2024_2026.csv;WDO;15_MIN;100.0;CONFIANCA_MAXIMA;OK
WDO_15min_2026_2026.csv;WDO;15_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_15min_2020_2022.csv;WIN;15_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_15min_2022_2024.csv;WIN;15_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_15min_2024_2026.csv;WIN;15_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_15min_2026_2026.csv;WIN;15_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_120min_2026_2026.csv;WIN;120_MIN;94.1;CONFIAVEL;HIGIENIZACAO_2_OCORRENCIAS
WIN_180min_2026_2026.csv;WIN;180_MIN;94.1;CONFIAVEL;HIGIENIZACAO_2_OCORRENCIAS
WIN_240min_2026_2026.csv;WIN;240_MIN;94.1;CONFIAVEL;HIGIENIZACAO_2_OCORRENCIAS
WIN_10min_2026_2026_CANDLES_PARCIAIS.csv;WIN;10_MIN;99.6;CONFIANCA_MAXIMA;OK
WIN_120min_2026_2026_CANDLES_PARCIAIS.csv;WIN;120_MIN;99.6;CONFIANCA_MAXIMA;OK
WIN_12min_2026_2026_CANDLES_PARCIAIS.csv;WIN;12_MIN;99.6;CONFIANCA_MAXIMA;OK
WIN_15min_2026_2026_CANDLES_PARCIAIS.csv;WIN;15_MIN;99.6;CONFIANCA_MAXIMA;OK
WIN_180min_2026_2026_CANDLES_PARCIAIS.csv;WIN;180_MIN;99.6;CONFIANCA_MAXIMA;OK
WIN_20min_2026_2026_CANDLES_PARCIAIS.csv;WIN;20_MIN;99.6;CONFIANCA_MAXIMA;OK
WIN_240min_2026_2026_CANDLES_PARCIAIS.csv;WIN;240_MIN;99.6;CONFIANCA_MAXIMA;OK
WIN_30min_2026_2026_CANDLES_PARCIAIS.csv;WIN;30_MIN;99.6;CONFIANCA_MAXIMA;OK
WIN_45min_2026_2026_CANDLES_PARCIAIS.csv;WIN;45_MIN;99.6;CONFIANCA_MAXIMA;OK
WIN_4min_2026_2026_CANDLES_PARCIAIS.csv;WIN;4_MIN;99.6;CONFIANCA_MAXIMA;OK
WIN_5min_2026_2026_CANDLES_PARCIAIS.csv;WIN;5_MIN;99.6;CONFIANCA_MAXIMA;OK
WIN_60min_2026_2026_CANDLES_PARCIAIS.csv;WIN;60_MIN;99.6;CONFIANCA_MAXIMA;OK
WIN_6min_2026_2026_CANDLES_PARCIAIS.csv;WIN;6_MIN;99.6;CONFIANCA_MAXIMA;OK
WIN_7min_2026_2026_CANDLES_PARCIAIS.csv;WIN;7_MIN;99.6;CONFIANCA_MAXIMA;OK
WIN_8min_2026_2026_CANDLES_PARCIAIS.csv;WIN;8_MIN;99.6;CONFIANCA_MAXIMA;OK
WIN_90min_2026_2026_CANDLES_PARCIAIS.csv;WIN;90_MIN;99.6;CONFIANCA_MAXIMA;OK
WIN_9min_2026_2026_CANDLES_PARCIAIS.csv;WIN;9_MIN;99.6;CONFIANCA_MAXIMA;OK
WDO_10min2022_2023.csv;WDO;10_MIN;100.0;CONFIANCA_MAXIMA;OK
WDO_10min_2023_2024.csv;WDO;10_MIN;100.0;CONFIANCA_MAXIMA;OK
WDO_10min_2024_2025.csv;WDO;10_MIN;100.0;CONFIANCA_MAXIMA;OK
WDO_10min_2025_2026.csv;WDO;10_MIN;100.0;CONFIANCA_MAXIMA;OK
WDO_10min_2026_2026.csv;WDO;10_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_10min_2022_2023.csv;WIN;10_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_10min_2023_2024.csv;WIN;10_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_10min_2024_2025.csv;WIN;10_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_10min_2025_2026.csv;WIN;10_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_10min_2026_2026 (2).csv;WIN;10_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_10min_2026_2026.csv;WIN;10_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_12min_2026_2026.csv;WIN;12_MIN;99.6;CONFIANCA_MAXIMA;OK
WIN_15min_2026_2026.csv;WIN;15_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_20min_2026_2026.csv;WIN;20_MIN;99.6;CONFIANCA_MAXIMA;OK
WDO_30min_2014_2016.csv;WDO;30_MIN;100.0;CONFIANCA_MAXIMA;OK
WDO_30min_2016_2018.csv;WDO;30_MIN;100.0;CONFIANCA_MAXIMA;OK
WDO_30min_2018_2020.csv;WDO;30_MIN;100.0;CONFIANCA_MAXIMA;OK
WDO_30min_2020_2022.csv;WDO;30_MIN;100.0;CONFIANCA_MAXIMA;OK
WDO_30min_2022_2024.csv;WDO;30_MIN;100.0;CONFIANCA_MAXIMA;OK
WDO_30min_2024_2026.csv;WDO;30_MIN;100.0;CONFIANCA_MAXIMA;OK
WDO_30min_2026_2026.csv;WDO;30_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_30min_2012_2014.csv;WIN;30_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_30min_2014_2016.csv;WIN;30_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_30min_2016_2018.csv;WIN;30_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_30min_2018_2020.csv;WIN;30_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_30min_2020_2022.csv;WIN;30_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_30min_2022_2024.csv;WIN;30_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_30min_2026_2026 (2).csv;WIN;30_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_30min_2026_2026.csv;WIN;30_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_45min_2026_2026.csv;WIN;45_MIN;99.6;CONFIANCA_MAXIMA;OK
WDO_60MIN_2012_2014.csv;WDO;60_MIN;97.25;CONFIANCA_MAXIMA;HIGIENIZACAO_1_OCORRENCIAS
WDO_60min_2014_2016.csv;WDO;60_MIN;97.25;CONFIANCA_MAXIMA;HIGIENIZACAO_1_OCORRENCIAS
WDO_60min_2016_2018.csv;WDO;60_MIN;100.0;CONFIANCA_MAXIMA;OK
WDO_60min_2018_2020.csv;WDO;60_MIN;100.0;CONFIANCA_MAXIMA;OK
WDO_60min_2020_2022.csv;WDO;60_MIN;100.0;CONFIANCA_MAXIMA;OK
WDO_60min_2022_2024.csv;WDO;60_MIN;100.0;CONFIANCA_MAXIMA;OK
WDO_60min_2024_2026.csv;WDO;60_MIN;100.0;CONFIANCA_MAXIMA;OK
WDO_60min_2026_2026.csv;WDO;60_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_60min_2012_2014.csv;WIN;60_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_60min_2014_2016.csv;WIN;60_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_60min_2016_2018.csv;WIN;60_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_60min_2018_2020.csv;WIN;60_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_60min_2020_2022.csv;WIN;60_MIN;100.0;CONFIANCA_MAXIMA;OK
WIN_60min_2022_2024.csv;WIN;60_MIN;100.0;CONFIANCA_MAXIMA;OK
