codigo_fonte;arquivo;ativo;fractal;data_inicio;data_fim;linhas;qualidade;prioridade_mineracao;elegivel_para_historiador;observacao
REV_SRC_00035;certificado_sha256.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;121;CRITICA;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00036;certificado_temporal.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;121;CRITICA;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00037;ordens_operador.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;0;CRITICA;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00038;ordens_para_bernardo.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;7;CRITICA;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00039;ordens_para_ze.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;39;CRITICA;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00040;registro_protocolos_fiscal.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;45;CRITICA;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00041;resumo_por_arquivo.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;121;CRITICA;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00042;resumo_por_motivo.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;3;CRITICA;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00043;trilha_auditoria_temporal.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;45;CRITICA;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00044;catalogo_padroes_historiador.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;7;CRITICA;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00045;cobertura_temporal.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;163;CRITICA;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00046;contexto_historiador.csv;DESCONHECIDO;DESCONHECIDO;18/06/2026;18/06/2026;6;CRITICA;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00047;distribuicao_fractais.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;24;CRITICA;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00048;estatistica_biblioteca.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;32;CRITICA;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00049;estatistica_delta.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;32;CRITICA;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00050;estatistica_volume.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;32;CRITICA;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00051;WDO_15min_2020_2022.csv;WDO;15_MIN;24/09/2020;30/12/2021;11481;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00052;WDO_15min_2022_2024.csv;WDO;15_MIN;03/01/2022;28/12/2023;18238;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00053;WDO_15min_2024_2026.csv;WDO;15_MIN;02/01/2024;30/12/2025;19003;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00054;WDO_15min_2026_2026.csv;WDO;15_MIN;02/01/2026;05/06/2026;3974;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00055;WIN_15min_2020_2022.csv;WIN;15_MIN;15/05/2020;30/12/2021;14808;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00056;WIN_15min_2022_2024.csv;WIN;15_MIN;03/01/2022;28/12/2023;18238;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00057;WIN_15min_2024_2026.csv;WIN;15_MIN;02/01/2024;30/12/2025;19001;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00058;WIN_15min_2026_2026.csv;WIN;15_MIN;02/01/2026;05/06/2026;3974;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00059;WIN_15min_2026_2026.csv;WIN;15_MIN;02/01/2026;05/06/2026;3974;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00060;WIN_120min_2026_2026.csv;WIN;120_MIN;21/01/2026;05/06/2026;458;EXCELENTE;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00061;WIN_120min_2026_2026.csv;WIN;120_MIN;21/01/2026;05/06/2026;458;EXCELENTE;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00062;WIN_180min_2026_2026.csv;WIN;180_MIN;21/01/2026;05/06/2026;366;EXCELENTE;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00063;WIN_180min_2026_2026.csv;WIN;180_MIN;21/01/2026;05/06/2026;366;EXCELENTE;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00064;WIN_240min_2026_2026.csv;WIN;240_MIN;21/01/2026;05/06/2026;275;EXCELENTE;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00065;WIN_240min_2026_2026.csv;WIN;240_MIN;21/01/2026;05/06/2026;275;EXCELENTE;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00066;WIN_10min_2026_2026_CANDLES_PARCIAIS.csv;WIN;10_MIN;21/01/2026;05/06/2026;93;EXCELENTE;4;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00067;WIN_120min_2026_2026_CANDLES_PARCIAIS.csv;WIN;120_MIN;21/01/2026;05/06/2026;93;EXCELENTE;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00068;WIN_12min_2026_2026_CANDLES_PARCIAIS.csv;WIN;12_MIN;21/01/2026;05/06/2026;92;EXCELENTE;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00069;WIN_15min_2026_2026_CANDLES_PARCIAIS.csv;WIN;15_MIN;21/01/2026;05/06/2026;93;EXCELENTE;3;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00070;WIN_180min_2026_2026_CANDLES_PARCIAIS.csv;WIN;180_MIN;21/01/2026;05/06/2026;93;EXCELENTE;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00071;WIN_20min_2026_2026_CANDLES_PARCIAIS.csv;WIN;20_MIN;21/01/2026;05/06/2026;93;EXCELENTE;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00072;WIN_240min_2026_2026_CANDLES_PARCIAIS.csv;WIN;240_MIN;21/01/2026;05/06/2026;93;EXCELENTE;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00073;WIN_30min_2026_2026_CANDLES_PARCIAIS.csv;WIN;30_MIN;21/01/2026;05/06/2026;93;EXCELENTE;3;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00074;WIN_45min_2026_2026_CANDLES_PARCIAIS.csv;WIN;45_MIN;21/01/2026;05/06/2026;93;EXCELENTE;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00075;WIN_4min_2026_2026_CANDLES_PARCIAIS.csv;WIN;4_MIN;21/01/2026;05/06/2026;92;EXCELENTE;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00076;WIN_5min_2026_2026_CANDLES_PARCIAIS.csv;WIN;5_MIN;21/01/2026;03/06/2026;35;EXCELENTE;4;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00077;WIN_60min_2026_2026_CANDLES_PARCIAIS.csv;WIN;60_MIN;21/01/2026;05/06/2026;93;EXCELENTE;2;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00078;WIN_6min_2026_2026_CANDLES_PARCIAIS.csv;WIN;6_MIN;21/01/2026;05/06/2026;92;EXCELENTE;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00079;WIN_7min_2026_2026_CANDLES_PARCIAIS.csv;WIN;7_MIN;22/01/2026;05/06/2026;92;EXCELENTE;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00080;WIN_8min_2026_2026_CANDLES_PARCIAIS.csv;WIN;8_MIN;21/01/2026;05/06/2026;93;EXCELENTE;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00081;WIN_90min_2026_2026_CANDLES_PARCIAIS.csv;WIN;90_MIN;21/01/2026;05/06/2026;93;EXCELENTE;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00082;WIN_9min_2026_2026_CANDLES_PARCIAIS.csv;WIN;9_MIN;21/01/2026;05/06/2026;93;EXCELENTE;0;NAO;Fonte catalogada para futura mineracao de reversoes
