fractal;ativo;pasta;arquivo;linhas;data_inicio;data_fim;status;observacao;caminho
06_15_MIN;WDO;wdo;WDO_15min_2026_2026.csv;3974;02/01/2026;05/06/2026;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\wdo\WDO_15min_2026_2026.csv
06_15_MIN;WIN;win;WIN_15min_2020_2022.csv;14808;15/05/2020;30/12/2021;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\win\WIN_15min_2020_2022.csv
06_15_MIN;WIN;win;WIN_15min_2022_2024.csv;18238;03/01/2022;28/12/2023;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\win\WIN_15min_2022_2024.csv
06_15_MIN;WIN;win;WIN_15min_2024_2026.csv;19001;02/01/2024;30/12/2025;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\win\WIN_15min_2024_2026.csv
06_15_MIN;WIN;win;WIN_15min_2026_2026.csv;3974;02/01/2026;05/06/2026;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\06_15_MIN\win\WIN_15min_2026_2026.csv
07_30_MIN;WDO;wdo;WDO_30min+2024_2026.csv;9502;02/01/2024;30/12/2025;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min+2024_2026.csv
07_30_MIN;WDO;wdo;WDO_30min_2014_2016.csv;3666;05/03/2015;30/12/2015;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2014_2016.csv
07_30_MIN;WDO;wdo;WDO_30min_2016_2018.csv;7624;04/01/2016;28/12/2017;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2016_2018.csv
07_30_MIN;WDO;wdo;WDO_30min_2020_2022.csv;9080;02/01/2020;30/12/2021;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2020_2022.csv
07_30_MIN;WDO;wdo;WDO_30min_2022_2024.csv;9119;03/01/2022;28/12/2023;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2022_2024.csv
07_30_MIN;WDO;wdo;WDO_30min_2024_2026.csv;9502;02/01/2024;30/12/2025;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2024_2026.csv
07_30_MIN;WDO;wdo;WDO_30min_2026_2026.csv;1987;02/01/2026;05/06/2026;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO_30min_2026_2026.csv
07_30_MIN;WDO;wdo;WDO__30min_2018_2020.csv;9022;02/01/2018;30/12/2019;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\wdo\WDO__30min_2018_2020.csv
07_30_MIN;WIN;win;WIN_30min_2012_2014.csv;6768;14/06/2012;30/12/2013;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2012_2014.csv
07_30_MIN;WIN;win;WIN_30min_2014_2016.csv;8860;02/01/2014;30/12/2015;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2014_2016.csv
07_30_MIN;WIN;win;WIN_30min_2016_2018.csv;8646;04/01/2016;28/12/2017;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2016_2018.csv
07_30_MIN;WIN;win;WIN_30min_2018_2020.csv;9022;02/01/2018;30/12/2019;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2018_2020.csv
07_30_MIN;WIN;win;WIN_30min_2020_2022.csv;9081;02/01/2020;30/12/2021;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2020_2022.csv
07_30_MIN;WIN;win;WIN_30min_2022_2024.csv;9119;03/01/2022;28/12/2023;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2022_2024.csv
07_30_MIN;WIN;win;WIN_30min_2026_2026.csv;1987;02/01/2026;05/06/2026;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2026_2026.csv
