data_hora;arquivo;fractal;pasta_atual;ativo_detectado;caminho_atual;destino_sugerido;acao;motivo
16/06/2026 22:55:16;WIN_5min_2026_2026.csv;005_5_MIN;win;DESCONHECIDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\win\WIN_5min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\win\WIN_5min_2026_2026.csv;VERIFICAR;Ativo nao identificado pelo conteudo
16/06/2026 22:55:17;WIN_6min_2026_2026.csv;006_6_MIN;win;DESCONHECIDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\006_6_MIN\win\WIN_6min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\006_6_MIN\win\WIN_6min_2026_2026.csv;VERIFICAR;Ativo nao identificado pelo conteudo
16/06/2026 22:55:17;WIN_7min_2026_2026.csv;007_7_MIN;win;DESCONHECIDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\007_7_MIN\win\WIN_7min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\007_7_MIN\win\WIN_7min_2026_2026.csv;VERIFICAR;Ativo nao identificado pelo conteudo
16/06/2026 22:55:17;WIN_8min_2026_2026.csv;008_8_MIN;win;DESCONHECIDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\008_8_MIN\win\WIN_8min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\008_8_MIN\win\WIN_8min_2026_2026.csv;VERIFICAR;Ativo nao identificado pelo conteudo
16/06/2026 22:55:17;WIN_9min_2026_2026.csv;009_9_MIN;win;DESCONHECIDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\009_9_MIN\win\WIN_9min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\009_9_MIN\win\WIN_9min_2026_2026.csv;VERIFICAR;Ativo nao identificado pelo conteudo
16/06/2026 22:55:17;WDO_15min_2020_2022.csv;008_15_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\wdo\WDO_15min_2020_2022.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\wdo\WDO_15min_2020_2022.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:17;WDO_15min_2022_2024.csv;008_15_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\wdo\WDO_15min_2022_2024.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\wdo\WDO_15min_2022_2024.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:17;WDO_15min_2024_2026.csv;008_15_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\wdo\WDO_15min_2024_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\wdo\WDO_15min_2024_2026.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:17;WDO_15min_2026_2026.csv;008_15_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\wdo\WDO_15min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\wdo\WDO_15min_2026_2026.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:17;WIN_15min_2020_2022.csv;008_15_MIN;win;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\win\WIN_15min_2020_2022.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\win\WIN_15min_2020_2022.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:17;WIN_15min_2022_2024.csv;008_15_MIN;win;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\win\WIN_15min_2022_2024.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\win\WIN_15min_2022_2024.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:17;WIN_15min_2024_2026.csv;008_15_MIN;win;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\win\WIN_15min_2024_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\win\WIN_15min_2024_2026.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:17;WIN_15min_2026_2026.csv;008_15_MIN;win;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\win\WIN_15min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\win\WIN_15min_2026_2026.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:17;WIN_120min_2026_2026.csv;0120_120_MIN;win;DESCONHECIDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\0120_120_MIN\win\WIN_120min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\0120_120_MIN\win\WIN_120min_2026_2026.csv;VERIFICAR;Ativo nao identificado pelo conteudo
16/06/2026 22:55:17;WIN_180min_2026_2026.csv;0180_180_MIN;win;DESCONHECIDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\0180_180_MIN\win\WIN_180min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\0180_180_MIN\win\WIN_180min_2026_2026.csv;VERIFICAR;Ativo nao identificado pelo conteudo
16/06/2026 22:55:17;WIN_240min_2026_2026.csv;0240_240_MIN;win;DESCONHECIDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\0240_240_MIN\win\WIN_240min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\0240_240_MIN\win\WIN_240min_2026_2026.csv;VERIFICAR;Ativo nao identificado pelo conteudo
16/06/2026 22:55:18;WDO_10min2022_2023.csv;010_10_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min2022_2023.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min2022_2023.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:18;WDO_10min_2023_2024.csv;010_10_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min_2023_2024.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min_2023_2024.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:18;WDO_10min_2024_2025.csv;010_10_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min_2024_2025.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min_2024_2025.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:18;WDO_10min_2025_2026.csv;010_10_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min_2025_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min_2025_2026.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:18;WDO_10min_2026_2026.csv;010_10_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min_2026_2026.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:18;WIN_10min_2022_2023.csv;010_10_MIN;win;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2022_2023.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2022_2023.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:18;WIN_10min_2023_2024.csv;010_10_MIN;win;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2023_2024.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2023_2024.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:18;WIN_10min_2024_2025.csv;010_10_MIN;win;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2024_2025.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2024_2025.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:18;WIN_10min_2025_2026.csv;010_10_MIN;win;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2025_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2025_2026.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:18;WIN_10min_2026_2026 (2).csv;010_10_MIN;win;DESCONHECIDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2026_2026 (2).csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2026_2026 (2).csv;VERIFICAR;Ativo nao identificado pelo conteudo
16/06/2026 22:55:18;WIN_10min_2026_2026.csv;010_10_MIN;win;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2026_2026.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:18;WIN_12min_2026_2026.csv;012_12_MIN;win;DESCONHECIDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\012_12_MIN\win\WIN_12min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\012_12_MIN\win\WIN_12min_2026_2026.csv;VERIFICAR;Ativo nao identificado pelo conteudo
16/06/2026 22:55:18;WIN_15min_2026_2026.csv;015_15_MIN;win;DESCONHECIDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\015_15_MIN\win\WIN_15min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\015_15_MIN\win\WIN_15min_2026_2026.csv;VERIFICAR;Ativo nao identificado pelo conteudo
16/06/2026 22:55:18;WIN_20min_2026_2026.csv;020_20_MIN;win;DESCONHECIDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\020_20_MIN\win\WIN_20min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\020_20_MIN\win\WIN_20min_2026_2026.csv;VERIFICAR;Ativo nao identificado pelo conteudo
16/06/2026 22:55:18;WDO_30min_2014_2016.csv;030_30_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2014_2016.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2014_2016.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:18;WDO_30min_2016_2018.csv;030_30_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2016_2018.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2016_2018.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:18;WDO_30min_2018_2020.csv;030_30_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2018_2020.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2018_2020.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:19;WDO_30min_2020_2022.csv;030_30_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2020_2022.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2020_2022.csv;OK;Arquivo ja esta na pasta correta
