arquivo;ativo;fractal;origem;linhas;tamanho_mb;qualidade;confiabilidade;score_importancia;classe_importancia;status
WDO_30min_2022_2024.csv;WDO;30_MIN;PROFIT;9119;0.697;100.0;100.0;69.66;MEDIA;OK
WDO_30min_2020_2022.csv;WDO;30_MIN;PROFIT;9080;0.694;100.0;100.0;69.64;MEDIA;OK
WIN_30min_2014_2016.csv;WIN;30_MIN;PROFIT;8860;0.725;100.0;100.0;69.64;MEDIA;OK
WDO_30min_2018_2020.csv;WDO;30_MIN;PROFIT;9022;0.681;100.0;100.0;69.59;MEDIA;OK
WIN_30min_2016_2018.csv;WIN;30_MIN;PROFIT;8646;0.711;100.0;100.0;69.53;MEDIA;OK
WIN_7min_2026_2026.csv;WIN;7_MIN;ZE_DO_EUCRAZIO;7395;1.33;100.0;98.0;69.03;MEDIA;OK
WIN_10min_2026_2026 (2).csv;WIN;10_MIN;PROFIT;5204;0.948;100.0;100.0;68.92;MEDIA;OK
WDO_30min_2016_2018.csv;WDO;30_MIN;PROFIT;7624;0.57;100.0;100.0;68.87;MEDIA;OK
WIN_DIARIO_2022_2024.csv;WIN;DIARIO;ZE_DO_EUCRAZIO;498;0.039;100.0;98.0;68.76;MEDIA;OK
WIN_DIARIO_2024_2026.csv;WIN;DIARIO;ZE_DO_EUCRAZIO;501;0.039;100.0;98.0;68.76;MEDIA;OK
WIN_DIARIO_2011_2013.csv;WIN;DIARIO;ZE_DO_EUCRAZIO;495;0.037;100.0;98.0;68.75;MEDIA;OK
WDO_DIARIO_2024_2026.csv;WDO;DIARIO;ZE_DO_EUCRAZIO;501;0.035;100.0;98.0;68.75;MEDIA;OK
WIN_DIARIO_2015_2017.csv;WIN;DIARIO;ZE_DO_EUCRAZIO;495;0.037;100.0;98.0;68.75;MEDIA;OK
WDO_DIARIO_2022_2024.csv;WDO;DIARIO;ZE_DO_EUCRAZIO;498;0.035;100.0;98.0;68.75;MEDIA;OK
WIN_DIARIO_2013_2015.csv;WIN;DIARIO;ZE_DO_EUCRAZIO;496;0.037;100.0;98.0;68.75;MEDIA;OK
WIN_DIARIO_2020_2022.csv;WIN;DIARIO;ZE_DO_EUCRAZIO;496;0.039;100.0;98.0;68.75;MEDIA;OK
WIN_DIARIO_2009_2010.csv;WIN;DIARIO;ZE_DO_EUCRAZIO;493;0.037;100.0;98.0;68.75;MEDIA;OK
WDO_DIARIO_2013_2014.csv;WDO;DIARIO;ZE_DO_EUCRAZIO;496;0.033;100.0;98.0;68.74;MEDIA;OK
WDO_Diário_2011_2013.csv;WDO;DIARIO;ZE_DO_EUCRAZIO;495;0.032;100.0;98.0;68.74;MEDIA;OK
WDO_DIARIO_2020_2022.csv;WDO;DIARIO;ZE_DO_EUCRAZIO;496;0.034;100.0;98.0;68.74;MEDIA;OK
WIN_DIARIO_2017_2019.csv;WIN;DIARIO;ZE_DO_EUCRAZIO;491;0.034;100.0;98.0;68.74;MEDIA;OK
WDO_DIARIO_2009_2010.csv;WDO;DIARIO;ZE_DO_EUCRAZIO;493;0.032;100.0;98.0;68.74;MEDIA;OK
WDO_DIARIO_2015_2017.csv;WDO;DIARIO;ZE_DO_EUCRAZIO;495;0.034;100.0;98.0;68.74;MEDIA;OK
WIN_DIARIO_2005_2006.csv;WIN;DIARIO;ZE_DO_EUCRAZIO;404;0.029;100.0;98.0;68.7;MEDIA;OK
WDO_DIARIO_2005_2006.csv;WDO;DIARIO;ZE_DO_EUCRAZIO;402;0.026;100.0;98.0;68.69;MEDIA;OK
WIN_DIARIO_2008_2009.csv;WIN;DIARIO;ZE_DO_EUCRAZIO;249;0.019;100.0;98.0;68.63;MEDIA;OK
WIN_DIARIO_2019_2020.csv;WIN;DIARIO;ZE_DO_EUCRAZIO;248;0.019;100.0;98.0;68.63;MEDIA;OK
WDO_DIARIO_2010_2011.csv;WDO;DIARIO;ZE_DO_EUCRAZIO;247;0.016;100.0;98.0;68.62;MEDIA;OK
WIN_DIARIO_2010_2011.csv;WIN;DIARIO;ZE_DO_EUCRAZIO;247;0.018;100.0;98.0;68.62;MEDIA;OK
WDO_DIARIO_2007_2008.csv;WDO;DIARIO;ZE_DO_EUCRAZIO;245;0.016;100.0;98.0;68.62;MEDIA;OK
WDO_DIARIO_2008_2009.csv;WDO;DIARIO;ZE_DO_EUCRAZIO;249;0.016;100.0;98.0;68.62;MEDIA;OK
WDO_DIARIO_2019_2020.csv;WDO;DIARIO;ZE_DO_EUCRAZIO;248;0.017;100.0;98.0;68.62;MEDIA;OK
WIN_DIARIO_2007_2008.csv;WIN;DIARIO;ZE_DO_EUCRAZIO;245;0.018;100.0;98.0;68.62;MEDIA;OK
WIN_DIARIO_2026_2026.csv;WIN;DIARIO;ZE_DO_EUCRAZIO;105;0.008;100.0;98.0;68.55;MEDIA;OK
WDO_DIARIO_2026_2026.csv;WDO;DIARIO;ZE_DO_EUCRAZIO;105;0.007;100.0;98.0;68.55;MEDIA;OK
WIN_30min_2012_2014.csv;WIN;30_MIN;PROFIT;6768;0.551;100.0;100.0;68.53;MEDIA;OK
WIN_8min_2026_2026.csv;WIN;8_MIN;ZE_DO_EUCRAZIO;6482;1.166;100.0;98.0;68.35;MEDIA;OK
WIN_10min_2026_2026.csv;WIN;10_MIN;PROFIT;5961;0.503;100.0;100.0;68.15;MEDIA;OK
WDO_10min_2026_2026.csv;WDO;10_MIN;PROFIT;5961;0.448;100.0;100.0;68.03;MEDIA;OK
WIN_9min_2026_2026.csv;WIN;9_MIN;ZE_DO_EUCRAZIO;5753;1.036;100.0;98.0;67.81;MEDIA;OK
WIN_60min_2024_2026.csv;WIN;60_MIN;PROFIT;5002;0.427;100.0;100.0;67.66;MEDIA;OK
WIN_15min_2026_2026.csv;WIN;15_MIN;PROFIT;3470;0.634;100.0;100.0;67.62;MEDIA;OK
WDO_60min_2024_2026.csv;WDO;60_MIN;PROFIT;5001;0.384;100.0;100.0;67.56;MEDIA;OK
WIN_60min_2022_2024.csv;WIN;60_MIN;PROFIT;4645;0.397;100.0;100.0;67.47;MEDIA;OK
WIN_60min_2020_2022.csv;WIN;60_MIN;PROFIT;4625;0.395;100.0;100.0;67.46;MEDIA;OK
WIN_60min_2018_2020.csv;WIN;60_MIN;PROFIT;4593;0.388;100.0;100.0;67.43;MEDIA;OK
WDO_60min_2022_2024.csv;WDO;60_MIN;PROFIT;4645;0.357;100.0;100.0;67.38;MEDIA;OK
WDO_60min_2020_2022.csv;WDO;60_MIN;PROFIT;4625;0.356;100.0;100.0;67.37;MEDIA;OK
WDO_60min_2018_2020.csv;WDO;60_MIN;PROFIT;4593;0.349;100.0;100.0;67.34;MEDIA;OK
WIN_60min_2014_2016.csv;WIN;60_MIN;PROFIT;4435;0.365;100.0;100.0;67.33;MEDIA;OK
WIN_60min_2016_2018.csv;WIN;60_MIN;PROFIT;4415;0.365;100.0;100.0;67.32;MEDIA;OK
WDO_60min_2014_2016.csv;WDO;60_MIN;PROFIT;4425;0.326;100.0;100.0;67.23;MEDIA;OK
WDO_60MIN_2012_2014.csv;WDO;60_MIN;PROFIT;4425;0.326;100.0;100.0;67.23;MEDIA;OK
WIN_60min_2012_2014.csv;WIN;60_MIN;PROFIT;3784;0.31;100.0;100.0;66.98;MEDIA;OK
WDO_60min_2016_2018.csv;WDO;60_MIN;PROFIT;3888;0.293;100.0;100.0;66.98;MEDIA;OK
WDO_30min_2014_2016.csv;WDO;30_MIN;PROFIT;3666;0.271;100.0;100.0;66.85;MEDIA;OK
WIN_12min_2026_2026.csv;WIN;12_MIN;ZE_DO_EUCRAZIO;4350;0.793;100.0;98.0;66.78;MEDIA;OK
WIN_30min_2026_2026.csv;WIN;30_MIN;PROFIT;1736;0.318;100.0;100.0;66.31;MEDIA;OK
WIN_30min_2026_2026 (2).csv;WIN;30_MIN;PROFIT;1987;0.169;100.0;100.0;66.05;MEDIA;OK
WIN_10min_2022_2023.csv;WIN;10_MIN;PROFIT;1919;0.162;100.0;100.0;66.02;MEDIA;OK
WDO_30min_2026_2026.csv;WDO;30_MIN;PROFIT;1987;0.151;100.0;100.0;66.01;MEDIA;OK
WDO_10min2022_2023.csv;WDO;10_MIN;PROFIT;1913;0.144;100.0;100.0;65.97;MEDIA;OK
WIN_60min_2026_2026.csv;WIN;60_MIN;PROFIT;914;0.168;100.0;100.0;65.69;MEDIA;OK
WIN_60min_2026_2026 (2).csv;WIN;60_MIN;PROFIT;1046;0.089;100.0;100.0;65.55;MEDIA;OK
WDO_60min_2026_2026.csv;WDO;60_MIN;PROFIT;1046;0.08;100.0;100.0;65.53;MEDIA;OK
WIN_20min_2026_2026.csv;WIN;20_MIN;ZE_DO_EUCRAZIO;2648;0.484;100.0;98.0;65.5;MEDIA;OK
WIN_45min_2026_2026.csv;WIN;45_MIN;ZE_DO_EUCRAZIO;1188;0.218;100.0;98.0;64.4;MEDIA;OK
WIN_90min_2026_2026.csv;WIN;90_MIN;ZE_DO_EUCRAZIO;640;0.118;100.0;98.0;63.98;MEDIA;OK
WIN_120min_2026_2026.csv;WIN;120_MIN;ZE_DO_EUCRAZIO;458;0.085;100.0;98.0;63.85;MEDIA;OK
WIN_180min_2026_2026.csv;WIN;180_MIN;ZE_DO_EUCRAZIO;366;0.068;100.0;98.0;63.78;MEDIA;OK
WIN_240min_2026_2026.csv;WIN;240_MIN;ZE_DO_EUCRAZIO;275;0.051;100.0;98.0;63.71;MEDIA;OK
