arquivo;tipo_problema;gravidade;detalhe
duplicidades_fractais_20260612_210609.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
WIN_120min_2026_2026_AUDITOR_SESSOES.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA
WIN_180min_2026_2026_AUDITOR_SESSOES.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA
WIN_240min_2026_2026_AUDITOR_SESSOES.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA
WIN_7min_2026_2026_AUDITOR_SESSOES.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA
alertas_temporais.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
alertas_temporais.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
alertas_temporais.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
alertas_temporais.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
certificado_sha256.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
certificado_sha256.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
certificado_sha256.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
certificado_sha256.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
certificado_temporal.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
certificado_temporal.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
certificado_temporal.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
