data_hora;pasta_base;fractal_pasta;arquivo;ativo_nome;caminho;status;problemas
17/06/2026 00:44:48;010_10_MIN;10_MIN;WIN_10min_2023_2024.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2023_2024.csv;OK;NENHUM
17/06/2026 00:44:48;010_10_MIN;10_MIN;WIN_10min_2024_2025.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2024_2025.csv;OK;NENHUM
17/06/2026 00:44:48;010_10_MIN;10_MIN;WIN_10min_2025_2026.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2025_2026.csv;OK;NENHUM
17/06/2026 00:44:48;010_10_MIN;10_MIN;WIN_10min_2026_2026 (2).csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2026_2026 (2).csv;VERIFICAR;NOME_COM_ESPACO
17/06/2026 00:44:48;010_10_MIN;10_MIN;WIN_10min_2026_2026.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2026_2026.csv;OK;NENHUM
17/06/2026 00:44:48;012_12_MIN;12_MIN;WIN_12min_2026_2026.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\012_12_MIN\win\WIN_12min_2026_2026.csv;OK;NENHUM
17/06/2026 00:44:48;015_15_MIN;15_MIN;WIN_15min_2026_2026.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\015_15_MIN\win\WIN_15min_2026_2026.csv;OK;NENHUM
17/06/2026 00:44:48;020_20_MIN;20_MIN;WIN_20min_2026_2026.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\020_20_MIN\win\WIN_20min_2026_2026.csv;OK;NENHUM
17/06/2026 00:44:48;030_30_MIN;30_MIN;WDO_30min_2014_2016.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2014_2016.csv;OK;NENHUM
17/06/2026 00:44:48;030_30_MIN;30_MIN;WDO_30min_2016_2018.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2016_2018.csv;OK;NENHUM
