origem;tipo_origem;destino;tipo_destino;relacao;peso;detalhe
WIN_5min_2025_2026.csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WIN_5min_2026_2026 (2).csv;ARQUIVO;WIN;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WIN_5min_2026_2026 (2).csv;ARQUIVO;5_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WIN_5min_2026_2026 (2).csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WIN_5min_2026_2026.csv;ARQUIVO;WIN;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WIN_5min_2026_2026.csv;ARQUIVO;5_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WIN_5min_2026_2026.csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WIN_6min_2026_2026.csv;ARQUIVO;WIN;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WIN_6min_2026_2026.csv;ARQUIVO;6_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WIN_6min_2026_2026.csv;ARQUIVO;ZE_DO_EUCRAZIO;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WIN_7min_2026_2026.csv;ARQUIVO;WIN;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WIN_7min_2026_2026.csv;ARQUIVO;7_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WIN_7min_2026_2026.csv;ARQUIVO;ZE_DO_EUCRAZIO;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WIN_8min_2026_2026.csv;ARQUIVO;WIN;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WIN_8min_2026_2026.csv;ARQUIVO;8_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WIN_8min_2026_2026.csv;ARQUIVO;ZE_DO_EUCRAZIO;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WIN_9min_2026_2026.csv;ARQUIVO;WIN;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WIN_9min_2026_2026.csv;ARQUIVO;9_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WIN_9min_2026_2026.csv;ARQUIVO;ZE_DO_EUCRAZIO;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WDO_10min2022_2023.csv;ARQUIVO;WDO;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
WDO_10min2022_2023.csv;ARQUIVO;10_MIN;FRACTAL;USA_ESCALA_TEMPORAL;0.85;Arquivo pertence ao fractal
WDO_10min2022_2023.csv;ARQUIVO;PROFIT;ORIGEM;GERADO_POR;0.75;Arquivo possui origem catalogada
WDO_10min_2023_2024.csv;ARQUIVO;WDO;ATIVO;PERTENCE_A;0.9;Arquivo pertence ao ativo
