arquivo;ativo;fractal;data_inicio;data_fim;linhas;colunas;status;confiabilidade;nota_qualidade;classificacao;tags;origem;caminho
WIN_DIARIO_2005_2006.csv;WIN;DIARIO;17/05/2005;28/12/2006;404;8;OK;100;100;EXCELENTE;WIN,DIARIO,PROFIT,MACRO_FRACTAL;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2005_2006.csv
WIN_DIARIO_2007_2008.csv;WIN;DIARIO;02/01/2007;28/12/2007;245;8;OK;100;100;EXCELENTE;WIN,DIARIO,PROFIT,MACRO_FRACTAL;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2007_2008.csv
WIN_DIARIO_2008_2009.csv;WIN;DIARIO;02/01/2008;30/12/2008;249;8;OK;100;100;EXCELENTE;WIN,DIARIO,PROFIT,MACRO_FRACTAL;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2008_2009.csv
WIN_DIARIO_2009_2010.csv;WIN;DIARIO;02/01/2009;30/12/2010;493;8;OK;100;100;EXCELENTE;WIN,DIARIO,PROFIT,MACRO_FRACTAL;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2009_2010.csv
WIN_DIARIO_2010_2011.csv;WIN;DIARIO;04/01/2010;30/12/2010;247;8;OK;100;100;EXCELENTE;WIN,DIARIO,PROFIT,MACRO_FRACTAL;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2010_2011.csv
WIN_DIARIO_2011_2013.csv;WIN;DIARIO;03/01/2011;28/12/2012;495;8;OK;100;100;EXCELENTE;WIN,DIARIO,PROFIT,MACRO_FRACTAL;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2011_2013.csv
WIN_DIARIO_2013_2015.csv;WIN;DIARIO;02/01/2013;30/12/2014;496;8;OK;100;100;EXCELENTE;WIN,DIARIO,PROFIT,MACRO_FRACTAL;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2013_2015.csv
WIN_DIARIO_2015_2017.csv;WIN;DIARIO;02/01/2015;29/12/2016;495;8;OK;100;100;EXCELENTE;WIN,DIARIO,PROFIT,MACRO_FRACTAL;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2015_2017.csv
WIN_DIARIO_2019_2020.csv;WIN;DIARIO;02/01/2019;30/12/2019;248;8;OK;100;100;EXCELENTE;WIN,DIARIO,PROFIT,MACRO_FRACTAL;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2019_2020.csv
WIN_DIARIO_2020_2022.csv;WIN;DIARIO;02/01/2020;30/12/2021;496;8;OK;100;100;EXCELENTE;WIN,DIARIO,PROFIT,MACRO_FRACTAL;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2020_2022.csv
WIN_DIARIO_2022_2024.csv;WIN;DIARIO;03/01/2022;28/12/2023;498;8;OK;100;100;EXCELENTE;WIN,DIARIO,PROFIT,MACRO_FRACTAL;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2022_2024.csv
WIN_DIARIO_2024_2026.csv;WIN;DIARIO;02/01/2024;30/12/2025;501;8;OK;100;100;EXCELENTE;WIN,DIARIO,PROFIT,MACRO_FRACTAL;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2024_2026.csv
WIN_DIARIO_2026_2026.csv;WIN;DIARIO;02/01/2026;05/06/2026;105;8;OK;100;100;EXCELENTE;WIN,DIARIO,PROFIT,MACRO_FRACTAL;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\09_DIARIO\win\WIN_DIARIO_2026_2026.csv
WDO_SEMANAL_2009_2011.csv;WDO;SEMANAL;05/01/2009;27/12/2010;104;8;OK;100;100;EXCELENTE;WDO,SEMANAL,PROFIT,MACRO_FRACTAL;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\wdo\WDO_SEMANAL_2009_2011.csv
WDO_SEMANAL_2011_2013.csv;WDO;SEMANAL;03/01/2011;26/12/2012;104;8;OK;100;100;EXCELENTE;WDO,SEMANAL,PROFIT,MACRO_FRACTAL;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\wdo\WDO_SEMANAL_2011_2013.csv
WDO_SEMANAL_2013_2015.csv;WDO;SEMANAL;02/01/2013;29/12/2014;105;8;OK;100;100;EXCELENTE;WDO,SEMANAL,PROFIT,MACRO_FRACTAL;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\10_SEMANAL\wdo\WDO_SEMANAL_2013_2015.csv
