timestamp_pc;ativo;data;hora;ultimo;abertura;maximo;minimo;volume;delta;saldo;agressao_compra;agressao_saldo;agressao_venda;vwap
2026-06-04 17:26:00;WINM26;03/06/2026;18:31:28;170725.0;174615.0;174685.0;170640.0;653014245384.0;-209.461;-209.461,00;6.843.606;-209.461;7.053.067;171.892
2026-06-04 17:26:01;WINM26;03/06/2026;18:31:28;170725.0;174615.0;174685.0;170640.0;653014245384.0;-209.461;-209.461,00;6.843.606;-209.461;7.053.067;171.892
2026-06-04 17:26:02;WINM26;03/06/2026;18:31:28;170725.0;174615.0;174685.0;170640.0;653014245384.0;-209.461;-209.461,00;6.843.606;-209.461;7.053.067;171.892
2026-06-04 17:26:03;WINM26;03/06/2026;18:31:28;170725.0;174615.0;174685.0;170640.0;653014245384.0;-209.461;-209.461,00;6.843.606;-209.461;7.053.067;171.892
2026-06-04 17:26:04;WINM26;03/06/2026;18:31:28;170725.0;174615.0;174685.0;170640.0;653014245384.0;-209.461;-209.461,00;6.843.606;-209.461;7.053.067;171.892
2026-06-04 17:26:05;WINM26;03/06/2026;18:31:28;170725.0;174615.0;174685.0;170640.0;653014245384.0;-209.461;-209.461,00;6.843.606;-209.461;7.053.067;171.892
2026-06-04 17:26:06;WINM26;03/06/2026;18:31:28;170725.0;174615.0;174685.0;170640.0;653014245384.0;-209.461;-209.461,00;6.843.606;-209.461;7.053.067;171.892
2026-06-04 17:26:07;WINM26;03/06/2026;18:31:28;170725.0;174615.0;174685.0;170640.0;653014245384.0;-209.461;-209.461,00;6.843.606;-209.461;7.053.067;171.892
2026-06-04 17:26:08;WINM26;03/06/2026;18:31:28;170725.0;174615.0;174685.0;170640.0;653014245384.0;-209.461;-209.461,00;6.843.606;-209.461;7.053.067;171.892
2026-06-04 17:26:09;WINM26;03/06/2026;18:31:28;170725.0;174615.0;174685.0;170640.0;653014245384.0;-209.461;-209.461,00;6.843.606;-209.461;7.053.067;171.892
2026-06-04 17:26:10;WINM26;03/06/2026;18:31:28;170725.0;174615.0;174685.0;170640.0;653014245384.0;-209.461;-209.461,00;6.843.606;-209.461;7.053.067;171.892
