ativo;data;hora;ultimo;abertura;maximo;minimo;volume;delta;saldo;vwap;agressao_compra;agressao_saldo;agressao_venda
WINM26;15/06/2026;18:31:21;1704250.0;1717000.0;1744650.0;1703550.0;5856805901630.0;-181215.0;-181215.0;172504.0;6420224.0;-181215.0;6601439.0
WINM26;15/06/2026;18:31:21;1704250.0;1717000.0;1744650.0;1703550.0;5856805901630.0;-181215.0;-181215.0;172504.0;6420224.0;-181215.0;6601439.0
WINM26;15/06/2026;18:31:21;1704250.0;1717000.0;1744650.0;1703550.0;5856805901630.0;-181215.0;-181215.0;172504.0;6420224.0;-181215.0;6601439.0
WINM26;15/06/2026;18:31:21;1704250.0;1717000.0;1744650.0;1703550.0;5856805901630.0;-181215.0;-181215.0;172504.0;6420224.0;-181215.0;6601439.0
WINM26;15/06/2026;18:31:21;1704250.0;1717000.0;1744650.0;1703550.0;5856805901630.0;-181215.0;-181215.0;172504.0;6420224.0;-181215.0;6601439.0
WINM26;15/06/2026;18:31:21;1704250.0;1717000.0;1744650.0;1703550.0;5856805901630.0;-181215.0;-181215.0;172504.0;6420224.0;-181215.0;6601439.0
WINM26;15/06/2026;18:31:21;1704250.0;1717000.0;1744650.0;1703550.0;5856805901630.0;-181215.0;-181215.0;172504.0;6420224.0;-181215.0;6601439.0
WINM26;15/06/2026;18:31:21;1704250.0;1717000.0;1744650.0;1703550.0;5856805901630.0;-181215.0;-181215.0;172504.0;6420224.0;-181215.0;6601439.0
WINM26;15/06/2026;18:31:21;1704250.0;1717000.0;1744650.0;1703550.0;5856805901630.0;-181215.0;-181215.0;172504.0;6420224.0;-181215.0;6601439.0
WINM26;15/06/2026;18:31:21;1704250.0;1717000.0;1744650.0;1703550.0;5856805901630.0;-181215.0;-181215.0;172504.0;6420224.0;-181215.0;6601439.0
WINM26;15/06/2026;18:31:21;1704250.0;1717000.0;1744650.0;1703550.0;5856805901630.0;-181215.0;-181215.0;172504.0;6420224.0;-181215.0;6601439.0
WINM26;15/06/2026;18:31:21;1704250.0;1717000.0;1744650.0;1703550.0;5856805901630.0;-181215.0;-181215.0;172504.0;6420224.0;-181215.0;6601439.0
WINM26;15/06/2026;18:31:21;1704250.0;1717000.0;1744650.0;1703550.0;5856805901630.0;-181215.0;-181215.0;172504.0;6420224.0;-181215.0;6601439.0
WINM26;15/06/2026;18:31:21;1704250.0;1717000.0;1744650.0;1703550.0;5856805901630.0;-181215.0;-181215.0;172504.0;6420224.0;-181215.0;6601439.0
WINM26;15/06/2026;18:31:21;1704250.0;1717000.0;1744650.0;1703550.0;5856805901630.0;-181215.0;-181215.0;172504.0;6420224.0;-181215.0;6601439.0
WINM26;15/06/2026;18:31:21;1704250.0;1717000.0;1744650.0;1703550.0;5856805901630.0;-181215.0;-181215.0;172504.0;6420224.0;-181215.0;6601439.0
WINM26;15/06/2026;18:31:21;1704250.0;1717000.0;1744650.0;1703550.0;5856805901630.0;-181215.0;-181215.0;172504.0;6420224.0;-181215.0;6601439.0
WINM26;15/06/2026;18:31:21;1704250.0;1717000.0;1744650.0;1703550.0;5856805901630.0;-181215.0;-181215.0;172504.0;6420224.0;-181215.0;6601439.0
WINM26;15/06/2026;18:31:21;1704250.0;1717000.0;1744650.0;1703550.0;5856805901630.0;-181215.0;-181215.0;172504.0;6420224.0;-181215.0;6601439.0
WINM26;15/06/2026;18:31:21;1704250.0;1717000.0;1744650.0;1703550.0;5856805901630.0;-181215.0;-181215.0;172504.0;6420224.0;-181215.0;6601439.0
