arquivo;ativo;fractal;data_inicio;data_fim;linhas;colunas;status;confiabilidade;nota_qualidade;classificacao;tags;origem;caminho
WIN_5min_2023_2024.csv;WIN;5_MIN;22/08/2023;28/12/2023;9612;9;OK;100;100;EXCELENTE;WIN,5_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\005_5_MIN\win\WIN_5min_2023_2024.csv
WIN_5min_2024_2025.csv;WIN;5_MIN;02/01/2024;30/12/2024;28314;9;OK;100;100;EXCELENTE;WIN,5_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\005_5_MIN\win\WIN_5min_2024_2025.csv
WIN_5min_2025_2026.csv;WIN;5_MIN;02/01/2025;30/12/2025;28176;9;OK;100;100;EXCELENTE;WIN,5_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\005_5_MIN\win\WIN_5min_2025_2026.csv
WIN_5min_2026_2026 (2).csv;WIN;5_MIN;02/01/2026;05/06/2026;11817;9;OK;100;100;EXCELENTE;WIN,5_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\005_5_MIN\win\WIN_5min_2026_2026 (2).csv
WIN_5min_2026_2026.csv;WIN;5_MIN;21/01/2026;05/06/2026;10316;21;OK;100;100;EXCELENTE;WIN,5_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\005_5_MIN\win\WIN_5min_2026_2026.csv
WIN_6min_2026_2026.csv;WIN;6_MIN;21/01/2026;05/06/2026;8640;21;OK;98;100;EXCELENTE;WIN,6_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\006_6_MIN\win\WIN_6min_2026_2026.csv
WIN_7min_2026_2026.csv;WIN;7_MIN;21/01/2026;05/06/2026;7395;21;OK;98;100;EXCELENTE;WIN,7_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\007_7_MIN\win\WIN_7min_2026_2026.csv
WIN_8min_2026_2026.csv;WIN;8_MIN;21/01/2026;05/06/2026;6482;21;OK;98;100;EXCELENTE;WIN,8_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\008_8_MIN\win\WIN_8min_2026_2026.csv
WIN_9min_2026_2026.csv;WIN;9_MIN;21/01/2026;05/06/2026;5753;21;OK;98;100;EXCELENTE;WIN,9_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\009_9_MIN\win\WIN_9min_2026_2026.csv
auditoria_pastas_temporais_20260612_215249.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;25;7;ALERTA;70;20;CRITICA;ZE_DO_EUCRAZIO,ALERTA;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_AUDITORIA\ze_do_eucrazio\auditoria_pastas_temporais_20260612_215249.csv
auditoria_pastas_temporais_20260612_215919.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;24;7;ALERTA;70;20;CRITICA;ZE_DO_EUCRAZIO,ALERTA;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_AUDITORIA\ze_do_eucrazio\auditoria_pastas_temporais_20260612_215919.csv
duplicidades_fractais_20260612_200451.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;40;5;ALERTA;70;20;CRITICA;ZE_DO_EUCRAZIO,ALERTA;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_AUDITORIA\ze_do_eucrazio\duplicidades_fractais_20260612_200451.csv
duplicidades_fractais_20260612_200734.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;21;5;ALERTA;70;20;CRITICA;ZE_DO_EUCRAZIO,ALERTA;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_AUDITORIA\ze_do_eucrazio\duplicidades_fractais_20260612_200734.csv
duplicidades_fractais_20260612_203011.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;21;5;ALERTA;70;20;CRITICA;ZE_DO_EUCRAZIO,ALERTA;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_AUDITORIA\ze_do_eucrazio\duplicidades_fractais_20260612_203011.csv
duplicidades_fractais_20260612_204049.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;21;5;ALERTA;70;20;CRITICA;ZE_DO_EUCRAZIO,ALERTA;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_AUDITORIA\ze_do_eucrazio\duplicidades_fractais_20260612_204049.csv
duplicidades_fractais_20260612_204345.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;21;5;ALERTA;70;20;CRITICA;ZE_DO_EUCRAZIO,ALERTA;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_AUDITORIA\ze_do_eucrazio\duplicidades_fractais_20260612_204345.csv
duplicidades_fractais_20260612_210109.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;21;5;ALERTA;70;20;CRITICA;ZE_DO_EUCRAZIO,ALERTA;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_AUDITORIA\ze_do_eucrazio\duplicidades_fractais_20260612_210109.csv
duplicidades_fractais_20260612_210609.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;21;5;ALERTA;70;20;CRITICA;ZE_DO_EUCRAZIO,ALERTA;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_AUDITORIA\ze_do_eucrazio\duplicidades_fractais_20260612_210609.csv
WIN_120min_2026_2026_AUDITOR_SESSOES.csv;WIN;120_MIN;N/D;N/D;93;7;ALERTA;70;60;FRACA;WIN,120_MIN,ZE_DO_EUCRAZIO,ALERTA;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_AUDITORIA\ze_do_eucrazio\WIN_120min_2026_2026_AUDITOR_SESSOES.csv
WIN_180min_2026_2026_AUDITOR_SESSOES.csv;WIN;180_MIN;N/D;N/D;93;7;ALERTA;70;60;FRACA;WIN,180_MIN,ZE_DO_EUCRAZIO,ALERTA;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_AUDITORIA\ze_do_eucrazio\WIN_180min_2026_2026_AUDITOR_SESSOES.csv
WIN_240min_2026_2026_AUDITOR_SESSOES.csv;WIN;240_MIN;N/D;N/D;93;7;ALERTA;70;60;FRACA;WIN,240_MIN,ZE_DO_EUCRAZIO,ALERTA;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_AUDITORIA\ze_do_eucrazio\WIN_240min_2026_2026_AUDITOR_SESSOES.csv
WIN_7min_2026_2026_AUDITOR_SESSOES.csv;WIN;7_MIN;N/D;N/D;93;7;ALERTA;70;60;FRACA;WIN,7_MIN,ZE_DO_EUCRAZIO,ALERTA;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_AUDITORIA\ze_do_eucrazio\WIN_7min_2026_2026_AUDITOR_SESSOES.csv
WDO_15min_2020_2022.csv;WDO;15_MIN;24/09/2020;30/12/2021;11481;9;OK;100;100;EXCELENTE;WDO,15_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\wdo\WDO_15min_2020_2022.csv
WDO_15min_2022_2024.csv;WDO;15_MIN;03/01/2022;28/12/2023;18238;9;OK;100;100;EXCELENTE;WDO,15_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\wdo\WDO_15min_2022_2024.csv
WDO_15min_2024_2026.csv;WDO;15_MIN;02/01/2024;30/12/2025;19003;9;OK;100;100;EXCELENTE;WDO,15_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\wdo\WDO_15min_2024_2026.csv
WDO_15min_2026_2026.csv;WDO;15_MIN;02/01/2026;05/06/2026;3974;9;OK;100;100;EXCELENTE;WDO,15_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\wdo\WDO_15min_2026_2026.csv
WIN_15min_2020_2022.csv;WIN;15_MIN;15/05/2020;30/12/2021;14808;9;OK;100;100;EXCELENTE;WIN,15_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\win\WIN_15min_2020_2022.csv
WIN_15min_2022_2024.csv;WIN;15_MIN;03/01/2022;28/12/2023;18238;9;OK;100;100;EXCELENTE;WIN,15_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\win\WIN_15min_2022_2024.csv
WIN_15min_2024_2026.csv;WIN;15_MIN;02/01/2024;30/12/2025;19001;9;OK;100;100;EXCELENTE;WIN,15_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\win\WIN_15min_2024_2026.csv
WIN_15min_2026_2026.csv;WIN;15_MIN;02/01/2026;05/06/2026;3974;9;OK;100;100;EXCELENTE;WIN,15_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\win\WIN_15min_2026_2026.csv
WIN_15min_2026_2026.csv;WIN;15_MIN;02/01/2026;05/06/2026;3974;9;OK;100;100;EXCELENTE;WIN,15_MIN,PROFIT;PROFIT;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\win\WIN_15min_2026_2026.csv
WIN_120min_2026_2026.csv;WIN;120_MIN;21/01/2026;05/06/2026;458;21;OK;98;100;EXCELENTE;WIN,120_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\0120_120_MIN\win\WIN_120min_2026_2026.csv
WIN_120min_2026_2026.csv;WIN;120_MIN;21/01/2026;05/06/2026;458;21;OK;98;100;EXCELENTE;WIN,120_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\0120_120_MIN\win\WIN_120min_2026_2026.csv
WIN_180min_2026_2026.csv;WIN;180_MIN;21/01/2026;05/06/2026;366;21;OK;98;100;EXCELENTE;WIN,180_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\0180_180_MIN\win\WIN_180min_2026_2026.csv
WIN_180min_2026_2026.csv;WIN;180_MIN;21/01/2026;05/06/2026;366;21;OK;98;100;EXCELENTE;WIN,180_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\0180_180_MIN\win\WIN_180min_2026_2026.csv
WIN_240min_2026_2026.csv;WIN;240_MIN;21/01/2026;05/06/2026;275;21;OK;98;100;EXCELENTE;WIN,240_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\0240_240_MIN\win\WIN_240min_2026_2026.csv
WIN_240min_2026_2026.csv;WIN;240_MIN;21/01/2026;05/06/2026;275;21;OK;98;100;EXCELENTE;WIN,240_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\0240_240_MIN\win\WIN_240min_2026_2026.csv
WIN_10min_2026_2026_CANDLES_PARCIAIS.csv;WIN;10_MIN;21/01/2026;05/06/2026;93;21;OK;98;100;EXCELENTE;WIN,10_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_10min_2026_2026_CANDLES_PARCIAIS.csv
