arquivo;ativo;fractal;nota_qualidade;classificacao;linhas;colunas;status;motivos
WIN_240min_2026_2026_CANDLES_PARCIAIS.csv;WIN;240_MIN;100;EXCELENTE;93;21;OK;OK
WIN_30min_2026_2026_CANDLES_PARCIAIS.csv;WIN;30_MIN;100;EXCELENTE;93;21;OK;OK
WIN_45min_2026_2026_CANDLES_PARCIAIS.csv;WIN;45_MIN;100;EXCELENTE;93;21;OK;OK
WIN_4min_2026_2026_CANDLES_PARCIAIS.csv;WIN;4_MIN;100;EXCELENTE;92;21;OK;OK
WIN_5min_2026_2026_CANDLES_PARCIAIS.csv;WIN;5_MIN;100;EXCELENTE;35;21;OK;OK
WIN_60min_2026_2026_CANDLES_PARCIAIS.csv;WIN;60_MIN;100;EXCELENTE;93;21;OK;OK
WIN_6min_2026_2026_CANDLES_PARCIAIS.csv;WIN;6_MIN;100;EXCELENTE;92;21;OK;OK
WIN_7min_2026_2026_CANDLES_PARCIAIS.csv;WIN;7_MIN;100;EXCELENTE;92;21;OK;OK
WIN_8min_2026_2026_CANDLES_PARCIAIS.csv;WIN;8_MIN;100;EXCELENTE;93;21;OK;OK
WIN_90min_2026_2026_CANDLES_PARCIAIS.csv;WIN;90_MIN;100;EXCELENTE;93;21;OK;OK
WIN_9min_2026_2026_CANDLES_PARCIAIS.csv;WIN;9_MIN;100;EXCELENTE;93;21;OK;OK
WDO_10min2022_2023.csv;WDO;10_MIN;100;EXCELENTE;1913;9;OK;OK
WDO_10min_2023_2024.csv;WDO;10_MIN;100;EXCELENTE;13622;9;OK;OK
WDO_10min_2024_2025.csv;WDO;10_MIN;100;EXCELENTE;14278;9;OK;OK
WDO_10min_2025_2026.csv;WDO;10_MIN;100;EXCELENTE;14226;9;OK;OK
WDO_10min_2026_2026.csv;WDO;10_MIN;100;EXCELENTE;5961;9;OK;OK
WIN_10min_2022_2023.csv;WIN;10_MIN;100;EXCELENTE;1919;9;OK;OK
WIN_10min_2023_2024.csv;WIN;10_MIN;100;EXCELENTE;13622;9;OK;OK
WIN_10min_2024_2025.csv;WIN;10_MIN;100;EXCELENTE;14283;9;OK;OK
WIN_10min_2025_2026.csv;WIN;10_MIN;100;EXCELENTE;14215;9;OK;OK
WIN_10min_2026_2026 (2).csv;WIN;10_MIN;100;EXCELENTE;5204;21;OK;OK
WIN_10min_2026_2026.csv;WIN;10_MIN;100;EXCELENTE;5961;9;OK;OK
WIN_12min_2026_2026.csv;WIN;12_MIN;100;EXCELENTE;4350;21;OK;OK
WIN_15min_2026_2026.csv;WIN;15_MIN;100;EXCELENTE;3470;21;OK;OK
WIN_20min_2026_2026.csv;WIN;20_MIN;100;EXCELENTE;2648;21;OK;OK
WDO_30min_2014_2016.csv;WDO;30_MIN;100;EXCELENTE;3666;9;OK;OK
WDO_30min_2016_2018.csv;WDO;30_MIN;100;EXCELENTE;7624;9;OK;OK
WDO_30min_2018_2020.csv;WDO;30_MIN;100;EXCELENTE;9022;9;OK;OK
WDO_30min_2020_2022.csv;WDO;30_MIN;100;EXCELENTE;9080;9;OK;OK
WDO_30min_2022_2024.csv;WDO;30_MIN;100;EXCELENTE;9119;9;OK;OK
WDO_30min_2024_2026.csv;WDO;30_MIN;100;EXCELENTE;9502;9;OK;OK
WDO_30min_2026_2026.csv;WDO;30_MIN;100;EXCELENTE;1987;9;OK;OK
WIN_30min_2012_2014.csv;WIN;30_MIN;100;EXCELENTE;6768;9;OK;OK
WIN_30min_2014_2016.csv;WIN;30_MIN;100;EXCELENTE;8860;9;OK;OK
WIN_30min_2016_2018.csv;WIN;30_MIN;100;EXCELENTE;8646;9;OK;OK
WIN_30min_2018_2020.csv;WIN;30_MIN;100;EXCELENTE;9022;9;OK;OK
WIN_30min_2020_2022.csv;WIN;30_MIN;100;EXCELENTE;9081;9;OK;OK
WIN_30min_2022_2024.csv;WIN;30_MIN;100;EXCELENTE;9119;9;OK;OK
WIN_30min_2026_2026 (2).csv;WIN;30_MIN;100;EXCELENTE;1987;9;OK;OK
WIN_30min_2026_2026.csv;WIN;30_MIN;100;EXCELENTE;1736;21;OK;OK
WIN_45min_2026_2026.csv;WIN;45_MIN;100;EXCELENTE;1188;21;OK;OK
WDO_60MIN_2012_2014.csv;WDO;60_MIN;100;EXCELENTE;4425;9;OK;OK
WDO_60min_2014_2016.csv;WDO;60_MIN;100;EXCELENTE;4425;9;OK;OK
WDO_60min_2016_2018.csv;WDO;60_MIN;100;EXCELENTE;3888;9;OK;OK
WDO_60min_2018_2020.csv;WDO;60_MIN;100;EXCELENTE;4593;9;OK;OK
WDO_60min_2020_2022.csv;WDO;60_MIN;100;EXCELENTE;4625;9;OK;OK
WDO_60min_2022_2024.csv;WDO;60_MIN;100;EXCELENTE;4645;9;OK;OK
WDO_60min_2024_2026.csv;WDO;60_MIN;100;EXCELENTE;5001;9;OK;OK
WDO_60min_2026_2026.csv;WDO;60_MIN;100;EXCELENTE;1046;9;OK;OK
WIN_60min_2012_2014.csv;WIN;60_MIN;100;EXCELENTE;3784;9;OK;OK
WIN_60min_2014_2016.csv;WIN;60_MIN;100;EXCELENTE;4435;9;OK;OK
WIN_60min_2016_2018.csv;WIN;60_MIN;100;EXCELENTE;4415;9;OK;OK
WIN_60min_2018_2020.csv;WIN;60_MIN;100;EXCELENTE;4593;9;OK;OK
WIN_60min_2020_2022.csv;WIN;60_MIN;100;EXCELENTE;4625;9;OK;OK
WIN_60min_2022_2024.csv;WIN;60_MIN;100;EXCELENTE;4645;9;OK;OK
WIN_60min_2024_2026.csv;WIN;60_MIN;100;EXCELENTE;5002;9;OK;OK
WIN_60min_2026_2026 (2).csv;WIN;60_MIN;100;EXCELENTE;1046;9;OK;OK
WIN_60min_2026_2026.csv;WIN;60_MIN;100;EXCELENTE;914;21;OK;OK
WIN_90min_2026_2026.csv;WIN;90_MIN;100;EXCELENTE;640;21;OK;OK
WDO_DIARIO_2005_2006.csv;WDO;DIARIO;100;EXCELENTE;402;8;OK;OK
WDO_DIARIO_2007_2008.csv;WDO;DIARIO;100;EXCELENTE;245;8;OK;OK
WDO_DIARIO_2008_2009.csv;WDO;DIARIO;100;EXCELENTE;249;8;OK;OK
WDO_DIARIO_2009_2010.csv;WDO;DIARIO;100;EXCELENTE;493;8;OK;OK
WDO_DIARIO_2010_2011.csv;WDO;DIARIO;100;EXCELENTE;247;8;OK;OK
WDO_DIARIO_2013_2014.csv;WDO;DIARIO;100;EXCELENTE;496;8;OK;OK
WDO_DIARIO_2015_2017.csv;WDO;DIARIO;100;EXCELENTE;495;8;OK;OK
WDO_DIARIO_2019_2020.csv;WDO;DIARIO;100;EXCELENTE;248;8;OK;OK
WDO_DIARIO_2020_2022.csv;WDO;DIARIO;100;EXCELENTE;496;8;OK;OK
WDO_DIARIO_2022_2024.csv;WDO;DIARIO;100;EXCELENTE;498;8;OK;OK
WDO_DIARIO_2024_2026.csv;WDO;DIARIO;100;EXCELENTE;501;8;OK;OK
WDO_DIARIO_2026_2026.csv;WDO;DIARIO;100;EXCELENTE;105;8;OK;OK
WDO_Diário_2011_2013.csv;WDO;DIARIO;100;EXCELENTE;495;8;OK;OK
WIN_DIARIO_2017_2019.csv;WIN;DIARIO;100;EXCELENTE;491;8;OK;OK
WIN_DIARIO_2005_2006.csv;WIN;DIARIO;100;EXCELENTE;404;8;OK;OK
WIN_DIARIO_2007_2008.csv;WIN;DIARIO;100;EXCELENTE;245;8;OK;OK
WIN_DIARIO_2008_2009.csv;WIN;DIARIO;100;EXCELENTE;249;8;OK;OK
WIN_DIARIO_2009_2010.csv;WIN;DIARIO;100;EXCELENTE;493;8;OK;OK
WIN_DIARIO_2010_2011.csv;WIN;DIARIO;100;EXCELENTE;247;8;OK;OK
WIN_DIARIO_2011_2013.csv;WIN;DIARIO;100;EXCELENTE;495;8;OK;OK
WIN_DIARIO_2013_2015.csv;WIN;DIARIO;100;EXCELENTE;496;8;OK;OK
WIN_DIARIO_2015_2017.csv;WIN;DIARIO;100;EXCELENTE;495;8;OK;OK
WIN_DIARIO_2019_2020.csv;WIN;DIARIO;100;EXCELENTE;248;8;OK;OK
WIN_DIARIO_2020_2022.csv;WIN;DIARIO;100;EXCELENTE;496;8;OK;OK
WIN_DIARIO_2022_2024.csv;WIN;DIARIO;100;EXCELENTE;498;8;OK;OK
WIN_DIARIO_2024_2026.csv;WIN;DIARIO;100;EXCELENTE;501;8;OK;OK
WIN_DIARIO_2026_2026.csv;WIN;DIARIO;100;EXCELENTE;105;8;OK;OK
WIN_120min_2026_2026.csv;WIN;120_MIN;100;EXCELENTE;458;21;OK;OK
WIN_180min_2026_2026.csv;WIN;180_MIN;100;EXCELENTE;366;21;OK;OK
WIN_240min_2026_2026.csv;WIN;240_MIN;100;EXCELENTE;275;21;OK;OK
WDOFUT_F_0_Semanal.csv;WDO;SEMANAL;100;EXCELENTE;85;8;OK;OK
WINFUT_F_0_Semanal.csv;WIN;SEMANAL;100;EXCELENTE;85;8;OK;OK
WDO_SEMANAL_2009_2011.csv;WDO;SEMANAL;100;EXCELENTE;104;8;OK;OK
WDO_SEMANAL_2011_2013.csv;WDO;SEMANAL;100;EXCELENTE;104;8;OK;OK
WDO_SEMANAL_2013_2015.csv;WDO;SEMANAL;100;EXCELENTE;105;8;OK;OK
WDO_SEMANAL_2015_2017.csv;WDO;SEMANAL;100;EXCELENTE;104;8;OK;OK
WDO_SEMANAL_2017_2019.csv;WDO;SEMANAL;100;EXCELENTE;104;8;OK;OK
WDO_SEMANAL_2019_2020.csv;WDO;SEMANAL;100;EXCELENTE;53;8;OK;OK
WDO_SEMANAL_2020_2022.csv;WDO;SEMANAL;100;EXCELENTE;104;8;OK;OK
WDO_SEMANAL_2024_2026.csv;WDO;SEMANAL;100;EXCELENTE;105;8;OK;OK
WDO_SEMANAL_2026_2026.csv;WDO;SEMANAL;100;EXCELENTE;22;8;OK;OK
WIN_Semanal_2005_2007.csv;WIN;SEMANAL;100;EXCELENTE;85;8;OK;OK
WIN_SEMANAL_2007_2009.csv;WIN;SEMANAL;100;EXCELENTE;105;8;OK;OK
WIN_SEMANAL_2009_2011.csv;WIN;SEMANAL;100;EXCELENTE;104;8;OK;OK
WIN_SEMANAL_2011_2013.csv;WIN;SEMANAL;100;EXCELENTE;104;8;OK;OK
WIN_SEMANAL_2013_2015.csv;WIN;SEMANAL;100;EXCELENTE;105;8;OK;OK
WIN_SEMANAL_2015_2017.csv;WIN;SEMANAL;100;EXCELENTE;104;8;OK;OK
WIN_SEMANAL_2017_2019.csv;WIN;SEMANAL;100;EXCELENTE;104;8;OK;OK
WIN_SEMANAL_2018_2020.csv;WIN;SEMANAL;100;EXCELENTE;53;8;OK;OK
WIN_SEMANAL_2020_2022.csv;WIN;SEMANAL;100;EXCELENTE;104;8;OK;OK
WIN_SEMANAL_2022_2024.csv;WIN;SEMANAL;100;EXCELENTE;104;8;OK;OK
WIN_SEMANAL_2024_2026.csv;WIN;SEMANAL;100;EXCELENTE;105;8;OK;OK
WIN_SEMANAL_2026_2026.csv;WIN;SEMANAL;100;EXCELENTE;22;8;OK;OK
