id;ativo;ativo_original;fractal;pasta;arquivo;caminho;linhas;colunas;data_inicio;data_fim;tamanho_mb;ultima_modificacao;hash_md5;origem;confiabilidade;tags;volume_medio;range_medio;preco_medio;status;observacao
WDO_10_MIN_WDO_10min_2024_2025.csv;WDO;WDOFUT;10_MIN;010_10_MIN;WDO_10min_2024_2025.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min_2024_2025.csv;14278;9;02/01/2024;30/12/2024;1.075;07/06/2026 01:28:01;c1566af919a8aeedb4d97ae48f28c23f;PROFIT;100;WDO,10_MIN,PROFIT;3166342425.1;8.56;6200.64;OK;
WDO_10_MIN_WDO_10min_2025_2026.csv;WDO;WDOFUT;10_MIN;010_10_MIN;WDO_10min_2025_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min_2025_2026.csv;14226;9;02/01/2025;30/12/2025;1.07;07/06/2026 01:29:28;f38fdceb2bbd2070639392220cb68738;PROFIT;100;WDO,10_MIN,PROFIT;2908682922.46;7.92;6077.39;OK;
WDO_10_MIN_WDO_10min_2026_2026.csv;WDO;WDOFUT;10_MIN;010_10_MIN;WDO_10min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\010_10_MIN\wdo\WDO_10min_2026_2026.csv;5961;9;02/01/2026;05/06/2026;0.448;07/06/2026 01:30:58;6c90aa35e508b5c6e92bd0025b0a9247;PROFIT;100;WDO,10_MIN,PROFIT;2516024916.18;7.14;5280.23;OK;
WDO_30_MIN_WDO_30min_2014_2016.csv;WDO;WDOFUT;30_MIN;030_30_MIN;WDO_30min_2014_2016.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2014_2016.csv;3666;9;05/03/2015;30/12/2015;0.271;07/06/2026 00:26:19;790436c7fafcd0601a50678acdef0229;PROFIT;100;WDO,30_MIN,PROFIT;630257744.46;26.48;6315.23;OK;
WDO_30_MIN_WDO_30min_2016_2018.csv;WDO;WDOFUT;30_MIN;030_30_MIN;WDO_30min_2016_2018.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2016_2018.csv;7624;9;04/01/2016;28/12/2017;0.57;07/06/2026 00:28:45;ef86600411219fe93cb81b4f87917478;PROFIT;100;WDO,30_MIN,PROFIT;1316027994.16;17.11;5380.78;OK;
WDO_30_MIN_WDO_30min_2018_2020.csv;WDO;WDOFUT;30_MIN;030_30_MIN;WDO_30min_2018_2020.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2018_2020.csv;9022;9;02/01/2018;30/12/2019;0.681;07/06/2026 00:31:37;7a8d61b8cb9765c7898f42720df1bc3a;PROFIT;100;WDO,30_MIN,PROFIT;3629491185.82;14.91;5369.0;OK;
WDO_30_MIN_WDO_30min_2020_2022.csv;WDO;WDOFUT;30_MIN;030_30_MIN;WDO_30min_2020_2022.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2020_2022.csv;9080;9;02/01/2020;30/12/2021;0.694;07/06/2026 00:33:11;423ab8386695e5c60cb731a9eab00a8c;PROFIT;100;WDO,30_MIN,PROFIT;12450062031.34;27.6;7366.0;OK;
WDO_30_MIN_WDO_30min_2022_2024.csv;WDO;WDOFUT;30_MIN;030_30_MIN;WDO_30min_2022_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2022_2024.csv;9119;9;03/01/2022;28/12/2023;0.697;07/06/2026 00:34:47;5b43a9086c60d5ed8c391d093dc5b705;PROFIT;100;WDO,30_MIN,PROFIT;11057366630.4;19.91;6366.81;OK;
WDO_30_MIN_WDO_30min_2024_2026.csv;WDO;WDOFUT;30_MIN;030_30_MIN;WDO_30min_2024_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2024_2026.csv;9502;9;02/01/2024;30/12/2025;0.724;07/06/2026 00:52:27;8d61263df276fdf351c4144c605db175;PROFIT;100;WDO,30_MIN,PROFIT;9112603704.51;14.28;6139.18;OK;
WDO_30_MIN_WDO_30min_2026_2026.csv;WDO;WDOFUT;30_MIN;030_30_MIN;WDO_30min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2026_2026.csv;1987;9;02/01/2026;05/06/2026;0.151;07/06/2026 00:43:09;e4282cfe58984004e5e49af837d94a95;PROFIT;100;WDO,30_MIN,PROFIT;7548074748.51;12.26;5280.24;OK;
