arquivo;ativo;fractal;linhas;colunas;status;observacao;confiabilidade;tags
WIN_60min_2022_2024.csv;WIN;60_MIN;4645;9;OK;;100;WIN,60_MIN,PROFIT
WIN_60min_2024_2026.csv;WIN;60_MIN;5002;9;OK;;100;WIN,60_MIN,PROFIT
WIN_60min_2026_2026.csv;WIN;60_MIN;1046;9;OK;;100;WIN,60_MIN,PROFIT
WDO_DIARIO_2005_2006.csv;WDO;DIARIO;402;8;OK;;100;WDO,DIARIO,PROFIT,MACRO_FRACTAL
WDO_DIARIO_2007_2008.csv;WDO;DIARIO;245;8;OK;;100;WDO,DIARIO,PROFIT,MACRO_FRACTAL
WDO_DIARIO_2008_2009.csv;WDO;DIARIO;249;8;OK;;100;WDO,DIARIO,PROFIT,MACRO_FRACTAL
WDO_DIARIO_2009_2010.csv;WDO;DIARIO;493;8;OK;;100;WDO,DIARIO,PROFIT,MACRO_FRACTAL
WDO_DIARIO_2010_2011.csv;WDO;DIARIO;247;8;OK;;100;WDO,DIARIO,PROFIT,MACRO_FRACTAL
WDO_DIARIO_2013_2014.csv;WDO;DIARIO;496;8;OK;;100;WDO,DIARIO,PROFIT,MACRO_FRACTAL
WDO_DIARIO_2015_2017.csv;WDO;DIARIO;495;8;OK;;100;WDO,DIARIO,PROFIT,MACRO_FRACTAL
WDO_DIARIO_2019_2020.csv;WDO;DIARIO;248;8;OK;;100;WDO,DIARIO,PROFIT,MACRO_FRACTAL
WDO_DIARIO_2020_2022.csv;WDO;DIARIO;496;8;OK;;100;WDO,DIARIO,PROFIT,MACRO_FRACTAL
WDO_DIARIO_2022_2024.csv;WDO;DIARIO;498;8;OK;;100;WDO,DIARIO,PROFIT,MACRO_FRACTAL
WDO_DIARIO_2024_2026.csv;WDO;DIARIO;501;8;OK;;100;WDO,DIARIO,PROFIT,MACRO_FRACTAL
WDO_DIARIO_2026_2026.csv;WDO;DIARIO;105;8;OK;;100;WDO,DIARIO,PROFIT,MACRO_FRACTAL
WDO_Diário_2011_2013.csv;WDO;DIARIO;495;8;OK;;100;WDO,DIARIO,PROFIT,MACRO_FRACTAL
WIN_DIARIO_2017_2019.csv;WIN;DIARIO;491;8;OK;;100;WIN,DIARIO,PROFIT,MACRO_FRACTAL
WIN_DIARIO_2005_2006.csv;WIN;DIARIO;404;8;OK;;100;WIN,DIARIO,PROFIT,MACRO_FRACTAL
WIN_DIARIO_2007_2008.csv;WIN;DIARIO;245;8;OK;;100;WIN,DIARIO,PROFIT,MACRO_FRACTAL
WIN_DIARIO_2008_2009.csv;WIN;DIARIO;249;8;OK;;100;WIN,DIARIO,PROFIT,MACRO_FRACTAL
WIN_DIARIO_2009_2010.csv;WIN;DIARIO;493;8;OK;;100;WIN,DIARIO,PROFIT,MACRO_FRACTAL
WIN_DIARIO_2010_2011.csv;WIN;DIARIO;247;8;OK;;100;WIN,DIARIO,PROFIT,MACRO_FRACTAL
WIN_DIARIO_2011_2013.csv;WIN;DIARIO;495;8;OK;;100;WIN,DIARIO,PROFIT,MACRO_FRACTAL
WIN_DIARIO_2013_2015.csv;WIN;DIARIO;496;8;OK;;100;WIN,DIARIO,PROFIT,MACRO_FRACTAL
WIN_DIARIO_2015_2017.csv;WIN;DIARIO;495;8;OK;;100;WIN,DIARIO,PROFIT,MACRO_FRACTAL
WIN_DIARIO_2019_2020.csv;WIN;DIARIO;248;8;OK;;100;WIN,DIARIO,PROFIT,MACRO_FRACTAL
WIN_DIARIO_2020_2022.csv;WIN;DIARIO;496;8;OK;;100;WIN,DIARIO,PROFIT,MACRO_FRACTAL
WIN_DIARIO_2022_2024.csv;WIN;DIARIO;498;8;OK;;100;WIN,DIARIO,PROFIT,MACRO_FRACTAL
WIN_DIARIO_2024_2026.csv;WIN;DIARIO;501;8;OK;;100;WIN,DIARIO,PROFIT,MACRO_FRACTAL
WIN_DIARIO_2026_2026.csv;WIN;DIARIO;105;8;OK;;100;WIN,DIARIO,PROFIT,MACRO_FRACTAL
WDO_SEMANAL_2009_2011.csv;WDO;SEMANAL;104;8;OK;;100;WDO,SEMANAL,PROFIT,MACRO_FRACTAL
WDO_SEMANAL_2011_2013.csv;WDO;SEMANAL;104;8;OK;;100;WDO,SEMANAL,PROFIT,MACRO_FRACTAL
WDO_SEMANAL_2013_2015.csv;WDO;SEMANAL;105;8;OK;;100;WDO,SEMANAL,PROFIT,MACRO_FRACTAL
WDO_SEMANAL_2015_2017.csv;WDO;SEMANAL;104;8;OK;;100;WDO,SEMANAL,PROFIT,MACRO_FRACTAL
WDO_SEMANAL_2017_2019.csv;WDO;SEMANAL;104;8;OK;;100;WDO,SEMANAL,PROFIT,MACRO_FRACTAL
WDO_SEMANAL_2019_2020.csv;WDO;SEMANAL;53;8;OK;;100;WDO,SEMANAL,PROFIT,MACRO_FRACTAL
WDO_SEMANAL_2020_2022.csv;WDO;SEMANAL;104;8;OK;;100;WDO,SEMANAL,PROFIT,MACRO_FRACTAL
WDO_SEMANAL_2024_2026.csv;WDO;SEMANAL;105;8;OK;;100;WDO,SEMANAL,PROFIT,MACRO_FRACTAL
WDO_SEMANAL_2026_2026.csv;WDO;SEMANAL;22;8;OK;;100;WDO,SEMANAL,PROFIT,MACRO_FRACTAL
WIN_Semanal_2005_2007.csv;WIN;SEMANAL;85;8;OK;;100;WIN,SEMANAL,PROFIT,MACRO_FRACTAL
WIN_SEMANAL_2007_2009.csv;WIN;SEMANAL;105;8;OK;;100;WIN,SEMANAL,PROFIT,MACRO_FRACTAL
