data_hora;evento;arquivo;detalhe
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_60min_2020_2022.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_60min_2022_2024.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_60min_2024_2026.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_60min_2026_2026.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_60min_2012_2014.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_60min_2014_2016.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_60min_2016_2018.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_60min_2018_2020.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_60min_2020_2022.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_60min_2022_2024.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_60min_2024_2026.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_60min_2026_2026.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_DIARIO_2005_2006.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_DIARIO_2007_2008.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_DIARIO_2008_2009.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_DIARIO_2009_2010.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_DIARIO_2010_2011.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_DIARIO_2013_2014.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_DIARIO_2015_2017.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_DIARIO_2019_2020.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_DIARIO_2020_2022.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_DIARIO_2022_2024.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_DIARIO_2024_2026.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_DIARIO_2026_2026.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_Diário_2011_2013.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_DIARIO_2017_2019.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_DIARIO_2005_2006.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_DIARIO_2007_2008.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_DIARIO_2008_2009.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_DIARIO_2009_2010.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_DIARIO_2010_2011.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_DIARIO_2011_2013.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_DIARIO_2013_2015.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_DIARIO_2015_2017.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_DIARIO_2019_2020.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_DIARIO_2020_2022.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_DIARIO_2022_2024.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_DIARIO_2024_2026.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_DIARIO_2026_2026.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_SEMANAL_2009_2011.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_SEMANAL_2011_2013.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_SEMANAL_2013_2015.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_SEMANAL_2015_2017.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_SEMANAL_2017_2019.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_SEMANAL_2019_2020.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_SEMANAL_2020_2022.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_SEMANAL_2024_2026.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDO_SEMANAL_2026_2026.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_Semanal_2005_2007.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_SEMANAL_2007_2009.csv;Primeira indexacao ou indice anterior incompativel
